Ê÷     »ùÒò
1	13
2	14
3	16
4	39
5	40
6	41
7	42
8	49
9	59
10	66
11	67
12	70
13	75
14	76
15	78
16	99
17	100
18	102
19	111
20	112
21	125
22	137
23	138
24	141
25	143
26	147
27	166
28	169
29	181
30	187
31	189
32	190
33	196
34	199
35	201
36	221
37	241
38	245
39	249
40	264
41	267
42	273
43	281
44	286
45	293
46	295
47	344
48	345
49	350
50	359
51	365
52	370
53	377
54	391
55	395
56	399
57	411
58	415
59	419
60	437
61	440
62	444
63	451
64	453
65	489
66	493
67	495
68	513
69	515
70	520
71	523
72	529
73	546
74	548
75	549
76	550
77	559
78	561
79	564
80	570
81	571
82	576
83	581
84	601
85	609
86	617
87	619
88	621
89	622
90	625
91	627
92	629
93	634
94	636
95	639
96	648
97	652
98	662
99	663
100	665
101	679
102	689
103	694
104	698
105	732
106	737
107	739
108	758
109	765
110	766
111	779
112	780
113	785
114	792
115	802
116	803
117	806
118	807
119	812
120	813
121	817
122	822
123	824
124	826
125	830
126	834
127	866
128	882
129	892
130	897
131	910
132	918
133	929
134	931
135	932
136	936
137	953
138	964
139	973
140	979
141	980
142	982
143	989
144	992
145	994
146	1002
147	1004
148	1014
149	1022
150	1039
151	1042
152	1047
153	1053
154	1058
155	1060
156	1067
157	1073
158	1091
159	1094
160	1108
161	1110
162	1111
163	1115
164	1119
165	1136
166	1139
167	1153
168	1168
169	1187
170	1194
171	1196
172	1197
173	1200
174	1208
175	1209
176	1210
177	1221
178	1223
179	1224
180	1227
181	1231
182	1244
183	1247
184	1248
185	1256
186	1258
187	1260
188	1263
189	1285
190	1286
191	1288
192	1293
193	1325
194	1328
195	1332
196	1334
197	1340
198	1346
199	1348
200	1360
201	1365
202	1366
203	1381
204	1386
205	1387
206	1398
207	1400
208	1401
209	1406
210	1411
211	1414
212	1421
213	1423
214	1439
215	1447
216	1451
217	1452
218	1466
219	1472
220	1473
221	1489
222	1494
223	1495
224	1504
225	1511
226	1514
227	1526
228	1530
229	1534
230	1537
231	1541
232	1546
233	1548
234	1549
235	1559
236	1560
237	1570
238	1573
239	1579
240	1582
241	1583
242	1597
243	1605
244	1608
245	1614
246	1623
247	1634
248	1635
249	1637
250	1644
251	1648
252	1649
253	1651
254	1659
255	1666
256	1668
257	1671
258	1672
259	1674
260	1675
261	1679
262	1698
263	1724
264	1730
265	1758
266	1761
267	1763
268	1770
269	1771
270	1772
271	1785
272	1795
273	1797
274	1801
275	1808
276	1826
277	1836
278	1839
279	1843
280	1867
281	1870
282	1871
283	1873
284	1875
285	1884
286	1886
287	1887
288	1892
289	1894
290	1897
291	1900
292	1904
293	1912
294	1917
295	1920
296	1924
297	1935
298	1938
299	1939
300	1942
301	1943
302	1946
303	1959
304	1960
305	1965
306	1967
307	1972
308	1974
309	1982
310	1983
311	1985
312	1991
313	1993
314	1998
