81.3	92.4	4846	4031.9
77.1	86	1736	2282.6
85.7	92.1	4125	3559
82.8	96.3	4630	3083.6
88.2	92.8	4865	2942.5
92.3	89.7	4400	2679.5
84.9	87.2	3950	3980.6
83.8	87.4	3413	2854.5
85.4	91.7	3171	2948.2
88.7	97.6	4086	2838.8
87.9	93.8	3948	2891
82.9	89.7	5759	2983.9
82.8	87.8	4515	2818.1
82.2	90.1	5833	3748.6
85.8	96.9	4750	2973.73
86.5	87.2	7248	3123.1
84.9	98.6	1651	2498.3
81	89.8	1661	2906.4
81	87.7	1682	3026
81	87	5759	3348.7
88.1	86.6	6151.3	3459.8
85.5	91	4563	2784.4
84.7	91.1	3468	3182.5
92.2	86.4	4765	3216
82.3	92.3	4415	3263.8
82.1	94.5	4615	2828.3
86.1	86.7	3507	2590.2
86.7	89.2	5759	2965.1
82.5	91.3	4909	2808.1
90.8	93.6	5115	2942.2
82.9	86.8	5218	3179.1
86.1	85.9	2528	4099.3
82.7	92.5	4650	3077.3
93	96.8	5759	3406.2
96.9	91.1	5759	3106.6
85.3	85.9	1134	3223
86.6	87.6	3741	3606
84.7	92.7	4313	3144.5
81.9	89.5	4351	3346.2
82.9	90.9	3948	3594
85.2	89.8	5139	3460.7
90.7	89.2	2242	2959.4
88.9	94.5	4543	3575
81.8	86.7	4335	2953.5
83.4	93.4	2038	2824.6
76.1	79.3	1682	2572.6
87.9	92.5	4865	2569.9
92.7	94	4615	2592.9
83.6	93.8	5274	3191.2
87.8	92.3	7350	3618.4
85.2	86.6	6867	3908.3
88.4	93.1	7583	2687.6
87	96.1	5350	3909.6
94.3	94.8	5350	4472.9
81.6	92.6	6342	3796.9
83.5	85.1	4135	2603.1
90.1	95.5	4351	3917.4
91.5	90.4	6183	4556.9
82.6	92.3	6767	3813.5
80.6	98.9	4050	3265.4
82.3	87.2	1736	2963.5
85.7	88.3	5159	2947.6
84	92.2	4731	2815.4
80.9	87.5	5992	3270
85.7	91.9	4213	3173.4
89.6	93.6	5992	2678
80.4	89	3211	3011.4
92	91.3	5115	3708.8
82.3	87.1	4631	3203.6
82.9	88.9	6825	3475.4
80.5	94.7	5918	3480.4
88.1	88.9	4809	3213.8
81.5	89.7	3548	2774.7
87	90.5	6109	3221.2
81.6	89.2	4924	3458.7
81.6	89.1	4722	3370.7
87.5	91.8	5274	3117.9
85.6	88.2	4135	2938.9
85.6	88.2	4135	2938.9
86.9	92.2	6576	2998.4
86.5	91.4	5059	3205.3
82.7	91.5	5759	3177
82.9	92.5	5274	3439
81.7	89.9	6867	3473.7
83.3	90.4	7292	3706.7
88.6	93.4	7058	3834.1
84.3	89.5	4650	2818.9
81.6	86.1	4163	3069.7
84.5	90.6	5140	2978.9
83.9	93.6	6767	3158.5
82.8	91.3	6183	3000.3
83.7	93.2	4400	3135.32
83.8	92.3	3948	3202.5
81.6	89.4	4086	2864.7
81.6	89.4	4086	2864.7
83.8	93.2	6867	3118.1
82.6	90.5	5159	3207.1
85.7	93.1	7159	3005
82.2	92.7	7583	2990.1
86.4	93.7	3507	3040.9
84.3	94	5624	3180.8
76.2	82.3	4515	2639.4
79.2	88	4282	2609.6
85.8	89.5	6533	2556.6
94.8	87.6	4650	2809.3
93.8	92.6	5409	2790.4
84.5	90.6	5140	2978.9
88.2	90.7	9500	3138.3
89.9	90.5	4135	3056.5
92.2	90.9	5159	2864.8
82.9	95.2	5600	2910.3
84.6	86.5	5115	2963
83.1	88.2	4067	2858.9
84	83.8	1809	2730
84.5	91.1	5727	2534.5
83.5	86.9	4765	2873.5
84	86.5	4650	2881
85.5	84.7	4650	2881.7
83.5	87.2	6342	3145
83.9	87.5	3585	2885.5
84.1	89	7350	3100.1
84	94.7	7058	2894.3
79.4	84.5	3341	2675.8
83.2	86.2	4251	2937.3
85.5	86.3	5568	2740.9
87.3	87.2	6109	2676.1
81.4	85.3	1524	2291.4
82.8	88.3	7583	2901.2
80.9	87.4	5274	2933.8
87.6	95.2	3646	2749.9
84.3	87.6	4163	2840.6
88.3	94.5	5059	2690.1
88	89.8	3316	2898
84.3	95.9	5568	2942.8
81.7	88.3	1477	2247
81.7	91.5	5918	3230.6
83.1	86.8	3452	2834.5
90	89.5	4328	3062
85.2	83.6	1019	2701.7
82	89.3	4067	3062
83.9	88.2	4067	2521.6
83.7	88.1	3818	3093
83.2	88.9	5159	3101.8
86.3	93.9	4415	3097
89	94.2	7583	2604.8
97.7	91.7	4865	2634.9
88	91.6	3741	2874.4
85.3	91.3	5159	2709.3
83.7	89.7	4981	2670.4
84.7	89.2	6533	2839.3
85.6	88.9	6342	2661.6
85.7	94.6	6634	2910.8
86.9	93.9	4650	2973.6
85.6	89.8	3569	3192.4
89.7	89	3879	2691.1
89.9	87.3	1312	2737.4
87.2	87.1	1637	2721.9
87.7	91.8	5274	3284.3
82.9	88.1	5140	2695.7
88	91.3	4182	2622.2
85.5	92.7	4865	2843.2
86.3	89.2	3948	2628.3
85.4	91.1	3792	2705.8
85.4	91.4	4750	2756.6
85.8	89	6342	2817
84.9	87.1	2592	2392.2
82.9	89.3	2391	2373.3
84.8	89.8	6109	2782.4
