16,0.904343662,0.020467328	
0,(8057,283),(5839,4860),(9165,5461),(4312,2925),(7264,2904),(4050,5202),(1428,5821),(7380,6923),(2023,2900),(11368,7166),(13388,5456),(9198,1698),(3714,7110),(3879,549),(12084,191),(11746,2147)
1,(7908,280),(5987,4860),(9167,5609),(4164,2918),(7452,2988),(4111,4854),(1577,5827),(7380,6774),(2171,2902),(11220,7168),(13477,5576),(9198,1847),(3864,7110),(3820,412),(12234,186),(11597,2151)
2,(7487,271),(5634,4860),(9175,6029),(4282,3139),(7110,3263),(4132,4434),(1386,5820),(7380,6354),(2592,2908),(10800,7174),(13728,5913),(9198,2268),(4284,7110),(3941,693),(12654,172),(11334,2282)
3,(7667,275),(6120,4860),(9162,5256),(4458,3206),(6914,3471),(4274,4259),(1195,5691),(7181,6269),(2880,2912),(10512,7178),(13900,6144),(9198,2123),(4572,7110),(3999,975),(12942,162),(11494,2451)
4,(8006,282),(5781,4860),(8841,6309),(4452,3214),(6630,3650),(4050,5202),(1117,5361),(6844,6278),(3046,2914),(10305,7303),(14102,6415),(9198,1785),(4378,7110),(4055,1308),(12639,172),(11832,2461)
5,(8297,285),(5626,5003),(8549,6301),(4288,3139),(6735,3598),(4629,4645),(1207,5197),(6912,6276),(2754,2910),(10327,7595),(14276,6649),(9198,1494),(4086,7110),(4280,1356),(12348,182),(12124,2460)
6,(8637,260),(5492,5213),(8745,6306),(4108,3322),(6998,3387),(4647,4772),(1224,5814),(7251,6267),(2413,2906),(10310,7365),(14356,6757),(9082,1174),(3746,7110),(4617,1310),(12008,193),(12463,2449)
7,(8496,270),(5634,4860),(9108,6316),(4120,3014),(7118,3070),(4597,4412),(1185,5197),(7614,6269),(2050,2901),(10474,7179),(14139,6466),(8958,833),(3512,7237),(4977,1261),(11644,202),(12827,2437)
8,(8262,384),(5087,5192),(9174,6578),(3873,2943),(7028,2873),(4050,5202),(1131,5422),(7946,6277),(1720,2908),(10805,7174),(13942,6200),(8845,521),(3520,7568),(4666,1303),(11313,208),(13063,2339)
9,(8262,655),(4817,5184),(9168,6848),(3603,2972),(7452,2988),(4140,4214),(1193,5686),(8216,6286),(1450,2936),(11076,7171),(13780,5982),(8753,267),(3526,7839),(4398,1340),(11042,212),(13031,2088)
10,(8262,988),(4942,5172),(9162,7110),(3640,2968),(6435,2936),(4140,3881),(1251,6014),(8474,6371),(1119,2972),(11410,7166),(13581,5715),(8855,550),(3521,7631),(3960,738),(10907,374),(12698,2105)
11,(8129,1322),(5243,4825),(9172,6650),(4097,2916),(7452,2988),(4140,4066),(1312,6469),(8271,6623),(662,3020),(11506,6876),(13307,5347),(9012,981),(3511,7172),(3992,932),(11006,822),(12239,2127)
12,(7911,1337),(5418,4697),(9177,6433),(4315,2925),(6193,2944),(4050,5202),(1286,6274),(8145,6610),(814,3004),(11456,6664),(13121,5328),(9086,1186),(3354,7110),(3981,738),(11054,1035),(12021,2138)
13,(7589,1358),(5583,4456),(9387,6312),(4508,3053),(7452,2988),(4123,4606),(1243,5955),(8460,6635),(1134,2970),(11383,6350),(13239,5298),(9196,1489),(3032,7110),(4302,738),(11123,1349),(12203,2129)
14,(7424,1172),(5564,4588),(9722,6302),(4539,2934),(6633,2741),(4107,4941),(1179,5626),(7380,7128),(1467,2935),(11309,6023),(13186,5311),(9085,1183),(2697,7110),(4637,738),(11196,1676),(12538,2113)
15,(7411,1366),(5279,4784),(9839,6036),(4602,2668),(6958,2689),(4131,5222),(1099,5283),(8126,6282),(1818,2898),(11232,5679),(13096,5334),(8965,852),(2487,7248),(4990,738),(11272,2020),(12890,2095)
16,(7079,1356),(5213,5014),(9815,6246),(4590,2336),(6866,2666),(4063,5321),(1031,4958),(7380,7128),(1881,3224),(11160,5355),(13112,5330),(8852,540),(2494,7579),(5321,738),(11262,1975),(13059,2259)
17,(6757,1341),(5470,4909),(9542,6307),(4590,2486),(6821,2780),(4098,5642),(966,4642),(8078,6927),(1943,3540),(11194,5507),(13230,5300),(8733,253),(3510,7110),(5644,738),(11193,1661),(12915,2434)
18,(6671,1140),(5634,4860),(9211,6317),(4687,2736),(7111,2840),(4363,5570),(904,4356),(7953,7143),(1917,3407),(11266,5829),(13190,5310),(8403,277),(2832,7902),(5689,738),(11121,1338),(12586,2445)
19,(6752,816),(4995,4900),(9174,6016),(4518,2934),(6784,2772),(4332,5584),(975,4683),(7618,7134),(1853,3078),(11339,6155),(13418,5497),(8453,273),(3166,7902),(5355,738),(11049,1012),(12251,2456)
20,(6695,1047),(5000,5108),(9168,5654),(4659,2736),(6746,2893),(4104,5799),(1047,5038),(7256,7131),(1789,2722),(11420,6509),(13635,5787),(8681,256),(3510,7110),(4993,738),(10970,659),(11889,2463)
21,(6587,1343),(5161,5196),(9163,5323),(4545,2934),(7452,2988),(4197,6095),(1244,5195),(6925,7140),(1735,2395),(11496,6831),(13832,6053),(8350,281),(3858,7917),(4662,738),(10898,336),(11558,2453)
22,(6483,1375),(5463,5211),(9162,5020),(4242,2922),(6602,2940),(4488,6183),(1224,5814),(6622,7137),(1687,2096),(11565,7126),(14013,6296),(8475,272),(4161,7930),(4359,738),(11051,212),(11346,2331)
23,(6830,1346),(5817,5220),(9162,4666),(4518,2934),(6949,2897),(4207,6098),(1564,4830),(6690,7142),(1401,2035),(11607,7478),(14225,6580),(8667,257),(4515,7946),(4006,738),(11406,206),(11139,2228)
24,(6893,1072),(6140,5220),(9162,4980),(4426,2930),(7252,2899),(4050,5202),(1553,5068),(6744,6883),(1080,2059),(11641,7798),(14417,6839),(8345,281),(4705,7835),(3684,757),(11727,200),(10842,2353)
25,(7434,270),(6263,5220),(9097,5253),(4480,3176),(7448,2865),(3555,5997),(1772,5177),(6737,6541),(740,2083),(11650,7881),(14214,6567),(8518,269),(4676,7495),(3344,781),(11880,387),(10528,2485)
26,(6688,451),(5947,5220),(8781,5242),(4252,3348),(7439,2550),(3241,5970),(2087,5169),(6733,6336),(433,2111),(11616,7568),(14026,6314),(8663,258),(4650,7181),(3030,803),(11880,198),(10237,2607)
27,(6786,270),(5634,4860),(8449,5231),(4287,3348),(7438,2534),(3281,5973),(1972,5172),(6740,6669),(503,2436),(11581,7237),(13828,6047),(8331,282),(4608,6852),(2698,827),(11896,1033),(10444,2520)
28,(7119,270),(5632,4888),(9162,5256),(4620,3331),(7448,2865),(3612,6002),(1640,5181),(6746,7000),(573,2761),(11830,7137),(13630,5781),(8523,268),(4563,6523),(2367,850),(11913,1365),(10750,2392)
29,(7433,288),(5619,4809),(7783,5237),(4629,3020),(7326,3160),(3657,5802),(1789,5177),(6939,7140),(616,2960),(12162,7102),(13430,5513),(8785,354),(3510,7110),(2321,853),(11929,1699),(11058,2262)
30,(7419,638),(5651,4500),(9162,5256),(4889,2923),(7399,2935),(3549,5469),(2139,5167),(7288,7130),(542,2618),(12511,7066),(13310,5351),(8904,683),(4565,6538),(2670,829),(11947,2049),(11387,2157)
31,(7428,415),(5764,4364),(7819,5235),(4518,2934),(7081,2721),(3518,5374),(2261,5171),(7675,7135),(461,2240),(12895,7026),(13540,5661),(9035,1046),(4618,6921),(3056,801),(11937,1849),(11774,2146)
32,(7306,270),(5589,4574),(8093,5221),(4785,2927),(7452,2988),(3602,5634),(2161,4960),(7947,7142),(566,2096),(13166,6998),(13703,5880),(9128,1303),(4726,7110),(3328,782),(11923,1576),(11856,2144)
33,(6908,270),(5480,4594),(8489,5232),(4636,3172),(7640,2940),(4050,5202),(2363,5181),(8082,6865),(962,2067),(13042,7011),(13940,6198),(9198,1687),(4920,7110),(3724,754),(11903,1179),(11459,2155)
34,(6648,270),(5610,4779),(8749,5241),(4541,3336),(7893,2912),(3923,5842),(2230,5020),(7380,7128),(1222,2048),(12783,7037),(14096,6407),(9198,1948),(4660,7110),(3936,739),(11890,919),(11329,2261)
35,(6738,642),(5830,4621),(9141,5255),(4150,3348),(8118,2786),(4086,5533),(2367,5157),(8050,6280),(1613,2020),(12393,7078),(14330,6722),(9198,1494),(4675,7484),(3544,767),(12054,699),(11575,2454)
36,(6983,744),(5730,4743),(9474,5272),(4130,3634),(8399,2716),(4050,5202),(2184,4974),(7716,6272),(1717,2284),(12062,7113),(14306,6690),(8865,2346),(4704,7816),(3212,790),(12387,693),(11909,2464)
37,(7320,725),(5819,4860),(9812,5290),(4119,3517),(8735,2694),(3713,5223),(2182,5082),(7380,7128),(1772,2617),(11727,7148),(14105,6420),(8527,2352),(4519,7947),(2876,814),(12723,688),(12246,2456)
38,(7244,729),(6086,4860),(9614,5279),(4008,3341),(9001,2676),(3447,5236),(2181,5080),(7380,6530),(1815,2880),(11548,7054),(13946,6206),(9198,1494),(4253,7934),(2611,833),(12965,684),(12511,2448)
39,(6838,752),(6399,4943),(9207,5258),(3602,3330),(9176,2690),(4050,5202),(1875,5174),(7380,6936),(1755,2514),(11455,6659),(13704,5881),(8667,2350),(3847,7916),(2205,862),(12559,690),(12917,2434)
40,(6846,947),(5634,4860),(9165,5486),(3325,3346),(8930,2680),(2765,5204),(1598,5182),(7392,7212),(1710,2241),(11392,6389),(13538,5658),(8945,2344),(3570,7903),(2426,846),(12283,695),(13061,2302)
41,(7130,1086),(5634,4860),(9172,5847),(3658,3330),(8570,2705),(2404,5184),(1562,4874),(7447,7569),(1541,2025),(11312,6036),(13323,5369),(9191,2448),(3209,7902),(2786,820),(11921,701),(12904,2095)
42,(7250,1098),(6390,4406),(9179,6300),(3815,3073),(7452,2988),(2836,5208),(1199,4765),(7387,7174),(1089,2058),(11213,5594),(13479,5578),(9193,2426),(2757,7902),(3238,789),(11880,290),(12451,2117)
43,(7046,1077),(6390,4202),(9176,6129),(3809,3034),(7990,2628),(4050,5202),(994,4752),(7538,7132),(884,2073),(11168,5394),(13601,5742),(9191,2457),(2551,7902),(3443,774),(11768,199),(12246,2127)
44,(6884,1206),(6570,4063),(9171,5832),(4518,2934),(7752,2674),(3042,5497),(1282,4770),(7835,7139),(587,2094),(11180,5444),(13779,5982),(9185,2571),(2496,7653),(3740,753),(11470,205),(11951,2139)
