10,1.14698,3.11925,0.180283,1,0.58,1,0.8
时间1,(9162,5256),(7740,2340),(5292,5058),(5094,5634),(4518,6192),(4158,6084),(6750,7956),(6516,288),(10008,4446),(9846,5976)
时间2,(9162,4922.66),(7726.68,2006.93),(5130,4968),(5058,5454),(4198.72,6096.22),(4104,5868),(6750,7622.66),(6642,270),(9675.4,4423.83),(9846,5642.66)
时间3,(9162,4662),(7722,1890),(4932,5184),(4744.08,5566.11),(4158,6084),(3888,6066),(6750,7289.33),(6516,288),(9342.8,4401.65),(9846,5309.33)
时间4,(8828.66,4662),(7452,1908),(5130,4968),(4554,5634),(3888,6066),(4158,6084),(6750,7146),(6182.66,288),(9198,4392),(9846,5292)
时间5,(8495.33,4662),(7722,1890),(4932,5184),(4626,5814),(3726,6012),(3888,6066),(6750,7479.34),(5849.33,288),(9530.6,4414.17),(9846,5625.34)
时间6,(8161.99,4662),(7452,1908),(5264.88,5201.52),(4534.43,6134.51),(3661.66,6339.07),(3726,6012),(6750,7812.67),(5832,288),(9863.2,4436.35),(9846,5958.67)
时间7,(8082,4662),(7722,1890),(5274,5202),(4518,6192),(3597.32,6666.13),(3393.88,5983.53),(6750,7956),(5498.87,299.792),(10008,4446),(9846,5976)
时间8,(8415.34,4662),(7452,1908),(5292,5058),(4563.33,6522.24),(3532.98,6993.2),(3096,5958),(7083.34,7956),(5165.75,311.584),(9993.2,4779.01),(9810,6300)
时间9,(8748.67,4662),(7722,1890),(5274,5202),(4608.65,6852.48),(3510,7110),(2860.3,6193.7),(7398,7956),(4832.62,323.376),(9978.4,5112.01),(9476.8,6309.52)
时间10,(9082.01,4662),(7452,1908),(5058,5454),(4644,7110),(3176.66,7110),(2772,6282),(7731.23,7964.33),(4499.49,335.168),(9972,5256),(9180,6318)
时间11,(9162,4662),(7722,1890),(5274,5202),(4672.27,7442.14),(2843.33,7110),(2441.7,6326.86),(8064.46,7972.66),(4166.36,346.961),(10305.1,5243.66),(9172.76,6651.26)
时间12,(8828.66,4662),(7452,1908),(5292,5058),(4700.53,7774.27),(2509.99,7110),(2111.39,6371.71),(8118,7974),(3833.24,358.753),(10458,5238),(9165.51,6984.51)
时间13,(8495.33,4662),(7722,1890),(5274,5202),(4716,7956),(2484,7110),(1781.09,6416.57),(7784.77,7965.67),(3798,360),(10790.9,5255.52),(9162,7146)
时间14,(8161.99,4662),(7452,1908),(5292,5058),(4383.01,7940.86),(2817.34,7110),(1450.78,6461.42),(7451.54,7957.34),(3464.7,365.025),(11123.8,5273.04),(9495.17,7156.58)
时间15,(8082,4662),(7722,1890),(5274,5202),(4050.02,7925.73),(3150.67,7110),(1314,6480),(7398,7956),(3131.4,370.049),(11142,5274),(9828.34,7167.15)
时间16,(8415.34,4662),(7452,1908),(5292,5058),(3717.02,7910.59),(3484.01,7110),(1644.3,6435.14),(7064.66,7956),(2798.11,375.074),(11475.1,5286.57),(10161.5,7177.73)
时间17,(8748.67,4662),(7722,1890),(5274,5202),(3528,7902),(3510,7110),(1974.61,6390.29),(6750,7956),(2464.81,380.098),(11808.2,5299.14),(10296,7182)
时间18,(9082.01,4662),(7452,1908),(5058,5454),(3194.66,7902),(3843.34,7110),(2304.91,6345.43),(7083.34,7956),(2131.51,385.123),(12141.3,5311.71),(9962.83,7171.42)
时间19,(9162,4662),(7722,1890),(5274,5202),(2861.33,7902),(4176.67,7110),(2635.22,6300.58),(7398,7956),(1798.21,390.148),(12474.4,5324.28),(9629.66,7160.85)
时间20,(8828.66,4662),(7452,1908),(5292,5058),(2527.99,7902),(4510.01,7110),(2772,6282),(7731.23,7964.33),(1464.91,395.172),(12807.5,5336.85),(9296.5,7150.27)
时间21,(8495.33,4662),(7722,1890),(5274,5202),(2502,7902),(4644,7110),(2441.7,6326.86),(8064.46,7972.66),(1131.61,400.197),(13050,5346),(9162,7146)
时间22,(8161.99,4662),(7452,1908),(5292,5058),(2168.93,7915.32),(4672.27,7442.14),(2111.39,6371.71),(8118,7974),(798.317,405.221),(13234.1,5623.87),(9495.17,7156.58)
时间23,(8082,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(4700.53,7774.27),(1781.09,6416.57),(7784.77,7965.67),(465.019,410.246),(13418.3,5901.73),(9828.34,7167.15)
时间24,(8415.34,4662),(7452,1908),(5292,5058),(1602,7938),(4716,7956),(1450.78,6461.42),(7451.54,7957.34),(216,414),(13602.4,6179.6),(10161.5,7177.73)
时间25,(8748.67,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(4383.01,7940.86),(1314,6480),(7398,7956),(549.298,408.975),(13786.5,6457.47),(10296,7182)
时间26,(9082.01,4662),(7452,1908),(5058,5454),(2268.14,7911.35),(4050.02,7925.73),(1644.3,6435.14),(7731.23,7964.33),(882.596,403.951),(13970.6,6735.33),(9962.83,7171.42)
时间27,(9162,4662),(7722,1890),(5274,5202),(2502,7902),(3717.02,7910.59),(1974.61,6390.29),(8064.46,7972.66),(1215.89,398.926),(14040,6840),(9629.66,7160.85)
时间28,(8828.66,4662),(7452,1908),(5292,5058),(2168.93,7915.32),(3528,7902),(2304.91,6345.43),(8118,7974),(1549.19,393.902),(14373.3,6840),(9296.5,7150.27)
时间29,(8495.33,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(3860.99,7917.14),(2635.22,6300.58),(7784.77,7965.67),(1882.49,388.877),(14418,6840),(9162,7146)
时间30,(8161.99,4662),(7452,1908),(5292,5058),(1602,7938),(4193.98,7932.27),(2772,6282),(7451.54,7957.34),(2215.79,383.852),(14544,7020),(9495.17,7156.58)
时间31,(8082,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(4526.98,7947.41),(3007.7,6046.3),(7398,7956),(2549.09,378.828),(14418,6840),(9828.34,7167.15)
时间32,(8415.34,4662),(7452,1908),(5292,5058),(2268.14,7911.35),(4716,7956),(3096,5958),(7731.23,7964.33),(2882.39,373.803),(14544,7020),(10161.5,7177.73)
时间33,(8748.67,4662),(7722,1890),(5274,5202),(2502,7902),(4383.01,7940.86),(2764,5928.2),(8064.46,7972.66),(3215.68,368.779),(14418,6840),(10296,7182)
时间34,(9082.01,4662),(7452,1908),(5058,5454),(2168.93,7915.32),(4050.02,7925.73),(2432,5898.41),(8118,7974),(3548.98,363.754),(14544,7020),(10629.3,7177.31)
时间35,(9162,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(3717.02,7910.59),(2099.99,5868.61),(7784.77,7965.67),(3798,360),(14418,6840),(10962.6,7172.61)
时间36,(8828.66,4662),(7452,1908),(5292,5058),(1602,7938),(3528,7902),(1767.99,5838.82),(7451.54,7957.34),(3464.7,365.025),(14544,7020),(11295.9,7167.92)
时间37,(8495.33,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(3860.99,7917.14),(1692,5832),(7398,7956),(3131.4,370.049),(14418,6840),(11574,7164)
时间38,(8161.99,4662),(7452,1908),(5292,5058),(2268.14,7911.35),(4193.98,7932.27),(1358.91,5819.19),(7731.23,7964.33),(2798.11,375.074),(14544,7020),(11609.3,7495.47)
时间39,(8082,4662),(7722,1890),(5274,5202),(2502,7902),(4526.98,7947.41),(1224,5814),(8064.46,7972.66),(2464.81,380.098),(14418,6840),(11644.5,7826.93)
时间40,(8415.34,4662),(7452,1908),(5292,5058),(2168.93,7915.32),(4716,7956),(1557.09,5826.81),(8118,7974),(2131.51,385.123),(14544,7020),(11664,8010)
时间41,(8748.67,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(4383.01,7940.86),(1692,5832),(7784.77,7965.67),(1798.21,390.148),(14418,6840),(11330.7,8007.05)
时间42,(9082.01,4662),(7452,1908),(5058,5454),(1602,7938),(4050.02,7925.73),(1358.91,5819.19),(7451.54,7957.34),(1464.91,395.172),(14544,7020),(10997.4,8004.1)
时间43,(9162,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(3717.02,7910.59),(1224,5814),(7398,7956),(1131.61,400.197),(14503.4,7350.85),(10664,8001.15)
时间44,(8828.66,4662),(7452,1908),(5292,5058),(2268.14,7911.35),(3528,7902),(1557.09,5826.81),(7731.23,7964.33),(798.317,405.221),(14462.7,7681.7),(10330.7,7998.2)
时间45,(8495.33,4662),(7722,1890),(5274,5202),(2502,7902),(3860.99,7917.14),(1692,5832),(8064.46,7972.66),(465.019,410.246),(14422.1,8012.55),(9997.39,7995.25)
时间46,(8161.99,4662),(7452,1908),(5292,5058),(2168.93,7915.32),(4193.98,7932.27),(1358.91,5819.19),(8118,7974),(216,414),(14418,8046),(9664.06,7992.3)
时间47,(8082,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(4526.98,7947.41),(1224,5814),(7784.77,7965.67),(549.298,408.975),(14084.7,8041.64),(9630,7992)
时间48,(8415.34,4662),(7452,1908),(5292,5058),(1602,7938),(4716,7956),(1557.09,5826.81),(7451.54,7957.34),(882.596,403.951),(13751.4,8037.29),(9595.1,7660.5)
时间49,(8748.67,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(4383.01,7940.86),(1692,5832),(7398,7956),(1215.89,398.926),(13418.1,8032.93),(9594,7650)
时间50,(9082.01,4662),(7452,1908),(5058,5454),(2268.14,7911.35),(4050.02,7925.73),(1358.91,5819.19),(7731.23,7964.33),(1549.19,393.902),(13084.8,8028.57),(9927.34,7650)
时间51,(9162,4662),(7722,1890),(5274,5202),(2502,7902),(3717.02,7910.59),(1224,5814),(8064.46,7972.66),(1882.49,388.877),(12751.5,8024.22),(10260.7,7650)
时间52,(8828.66,4662),(7452,1908),(5292,5058),(2168.93,7915.32),(3528,7902),(1557.09,5826.81),(8118,7974),(2215.79,383.852),(12418.2,8019.86),(10332,7650)
时间53,(8495.33,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(3860.99,7917.14),(1692,5832),(7784.77,7965.67),(2549.09,378.828),(12084.8,8015.5),(10306.4,7317.65)
时间54,(8161.99,4662),(7452,1908),(5292,5058),(1602,7938),(4193.98,7932.27),(1358.91,5819.19),(7451.54,7957.34),(2882.39,373.803),(11751.5,8011.14),(10296,7182)
时间55,(8082,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(4526.98,7947.41),(1224,5814),(7398,7956),(3215.68,368.779),(11664,8010),(10321.6,7514.35)
时间56,(8415.34,4662),(7452,1908),(5292,5058),(2268.14,7911.35),(4716,7956),(1557.09,5826.81),(7731.23,7964.33),(3548.98,363.754),(11997.3,8014.36),(10332,7650)
时间57,(8748.67,4662),(7722,1890),(5274,5202),(2502,7902),(4383.01,7940.86),(1692,5832),(8064.46,7972.66),(3798,360),(12330.6,8018.71),(10306.4,7317.65)
时间58,(9082.01,4662),(7452,1908),(5058,5454),(2168.93,7915.32),(4050.02,7925.73),(1358.91,5819.19),(8118,7974),(3464.7,365.025),(12663.9,8023.07),(10296,7182)
时间59,(9162,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(3717.02,7910.59),(1224,5814),(7784.77,7965.67),(3131.4,370.049),(12997.2,8027.43),(9962.83,7171.42)
时间60,(8828.66,4662),(7452,1908),(5292,5058),(1602,7938),(3528,7902),(1557.09,5826.81),(7451.54,7957.34),(2798.11,375.074),(13330.5,8031.78),(9629.66,7160.85)
时间61,(8495.33,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(3860.99,7917.14),(1692,5832),(7398,7956),(2464.81,380.098),(13663.8,8036.14),(9296.5,7150.27)
时间62,(8161.99,4662),(7452,1908),(5292,5058),(2268.14,7911.35),(4193.98,7932.27),(1358.91,5819.19),(7731.23,7964.33),(2131.51,385.123),(13997.2,8040.5),(9162,7146)
时间63,(8082,4662),(7722,1890),(5274,5202),(2502,7902),(4526.98,7947.41),(1224,5814),(8064.46,7972.66),(1798.21,390.148),(14330.5,8044.86),(9495.17,7156.58)
时间64,(8415.34,4662),(7452,1908),(5292,5058),(2168.93,7915.32),(4716,7956),(1557.09,5826.81),(8118,7974),(1464.91,395.172),(14418,8046),(9828.34,7167.15)
时间65,(8748.67,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(4383.01,7940.86),(1692,5832),(7784.77,7965.67),(1131.61,400.197),(14084.7,8041.64),(10161.5,7177.73)
时间66,(9082.01,4662),(7452,1908),(5058,5454),(1602,7938),(4050.02,7925.73),(1358.91,5819.19),(7451.54,7957.34),(798.317,405.221),(13751.4,8037.29),(10296,7182)
时间67,(9162,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(3717.02,7910.59),(1224,5814),(7398,7956),(465.019,410.246),(13418.1,8032.93),(9962.83,7171.42)
时间68,(8828.66,4662),(7452,1908),(5292,5058),(2268.14,7911.35),(3528,7902),(1557.09,5826.81),(7731.23,7964.33),(216,414),(13084.8,8028.57),(9629.66,7160.85)
时间69,(8495.33,4662),(7722,1890),(5274,5202),(2502,7902),(3860.99,7917.14),(1692,5832),(8064.46,7972.66),(549.298,408.975),(12751.5,8024.22),(9296.5,7150.27)
时间70,(8161.99,4662),(7452,1908),(5292,5058),(2168.93,7915.32),(4193.98,7932.27),(1358.91,5819.19),(8118,7974),(882.596,403.951),(12418.2,8019.86),(9162,7146)
时间71,(8082,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(4526.98,7947.41),(1224,5814),(7784.77,7965.67),(1215.89,398.926),(12084.8,8015.5),(9495.17,7156.58)
时间72,(8415.34,4662),(7452,1908),(5292,5058),(1602,7938),(4716,7956),(1557.09,5826.81),(7451.54,7957.34),(1549.19,393.902),(11751.5,8011.14),(9828.34,7167.15)
时间73,(8748.67,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(4383.01,7940.86),(1692,5832),(7398,7956),(1882.49,388.877),(11664,8010),(10161.5,7177.73)
时间74,(9082.01,4662),(7452,1908),(5058,5454),(2268.14,7911.35),(4050.02,7925.73),(1358.91,5819.19),(7731.23,7964.33),(2215.79,383.852),(11997.3,8014.36),(10296,7182)
时间75,(9162,4662),(7722,1890),(5274,5202),(2502,7902),(3717.02,7910.59),(1224,5814),(8064.46,7972.66),(2549.09,378.828),(12330.6,8018.71),(9962.83,7171.42)
时间76,(8828.66,4662),(7452,1908),(5292,5058),(2168.93,7915.32),(3528,7902),(1557.09,5826.81),(8118,7974),(2882.39,373.803),(12663.9,8023.07),(9629.66,7160.85)
时间77,(8495.33,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(3860.99,7917.14),(1692,5832),(7784.77,7965.67),(3215.68,368.779),(12997.2,8027.43),(9296.5,7150.27)
时间78,(8161.99,4662),(7452,1908),(5292,5058),(1602,7938),(4193.98,7932.27),(1358.91,5819.19),(7451.54,7957.34),(3548.98,363.754),(13330.5,8031.78),(9162,7146)
时间79,(8082,4662),(7722,1890),(5274,5202),(1935.07,7924.68),(4526.98,7947.41),(1224,5814),(7398,7956),(3798,360),(13663.8,8036.14),(9495.17,7156.58)
时间80,(8415.34,4662),(7452,1908),(5292,5058),(2268.14,7911.35),(4716,7956),(1557.09,5826.81),(7731.23,7964.33),(3464.7,365.025),(13997.2,8040.5),(9828.34,7167.15)
时间81,(8748.67,4662),(7722,1890),(5274,5202),(2502,7902),(4383.01,7940.86),(1692,5832),(8064.46,7972.66),(3131.4,370.049),(14330.5,8044.86),(10161.5,7177.73)
时间82,(9082.01,4662),(7452,1908),(5058,5454),(2168.93,7915.32),(4050.02,7925.73),(1358.91,5819.19),(8118,7974),(2798.11,375.074),(14418,8046),(10296,7182)
时间83,(9162,4662),(7722,1890),(5274,5202),(1835.86,7928.65),(3717.02,7910.59),(1224,5814),(7784.77,7965.67),(2464.81,380.098),(14084.7,8041.64),(9962.83,7171.42)
时间84,(8828.66,4662),(7452,1908),(5292,5058),(1602,7938),(3528,7902),(1557.09,5826.81),(7451.54,7957.34),(2131.51,385.123),(13751.4,8037.29),(9629.66,7160.85)
