30,1.02621,1.63353,0.888985,1,0.903333,0.971981,0.4
时间1,(9198,4392),(6624,1332),(5472,4356),(9144,7650),(10296,7182),(11376,6318),(9162,7992),(11970,2466),(11880,702),(13266,5292),(9198,1494),(8262,288),(5886,4554),(7110,3582),(5886,4554),(8460,6642),(8118,7668),(6480,7128),(5040,6264),(2502,7902),(2088,4266),(2124,4662),(810,3762),(3132,2916),(432,2106),(5832,288),(6066,1278),(3960,738),(3114,3762),(3294,2250)
时间2,(9180,4086),(6876,1350),(5292,4284),(9477.34,7650),(9962.83,7171.42),(11303.1,5992.73),(9144.48,7659.12),(12303.2,2455.08),(11880,368.664),(13243,4959.46),(9084.45,1180.6),(7928.74,280.755),(5994,4356),(6840,3546),(5994,4356),(8128.32,6608.83),(7786.59,7632.17),(6146.74,7121.06),(4709.79,6218.45),(2494.43,7568.75),(2421.32,4268.92),(2093.82,4330.03),(1143.05,3748.12),(2798.7,2911.43),(374.539,1777.65),(6165.34,288),(6399.34,1278),(3828.69,431.616),(3173.63,3434.04),(3294,2070)
时间3,(8846.71,4091.29),(6624,1332),(5004,4302),(9594,7650),(9629.66,7160.85),(11230.2,5667.47),(9144,7650),(12636.3,2444.15),(11880,198),(13220,4626.92),(8970.9,867.201),(7595.49,273.511),(6030,4050),(6552,3690),(5886,4554),(8100,6606),(7455.19,7596.34),(5813.47,7114.11),(4518,6192),(2486.85,7235.5),(2754.65,4271.85),(2088,4266),(1242,3744),(2465.39,2906.87),(317.079,1449.31),(6498.67,288),(6408,1278),(3798,360),(3186,3366),(3294,2250)
时间4,(8513.41,4096.58),(6390,1404),(4673.46,4345.11),(9628.9,7981.5),(9296.5,7150.27),(11157.3,5342.2),(9155.9,7316.88),(12969.5,2433.23),(11880,531.336),(13197,4294.38),(8857.35,553.802),(7434,270),(6325.28,3895.33),(6220.17,3721.6),(5994,4356),(8077.83,6938.6),(7452,7596),(5616,7110),(4848.21,6237.55),(2484,7110),(3087.97,4274.77),(2421.32,4268.92),(1571.65,3694.55),(2132.09,2902.3),(306,1386),(6516,288),(6074.66,1278),(3929.31,666.384),(3126.37,3693.96),(3474,2250)
时间5,(8180.12,4101.87),(6624,1332),(4590,4356),(9630,7992),(9162,7146),(11142,5274),(9162,7146),(13068,2430),(11880,702),(13174,3961.84),(8748,252),(7767.26,277.245),(6408,3852),(6174,3726),(6030,4050),(8064,7146),(7402.55,7925.65),(5602.12,6776.95),(5040,6264),(2817.34,7110),(3421.29,4277.7),(2754.65,4271.85),(1901.3,3645.11),(1818,2898),(363.461,1714.35),(6593.79,612.132),(6066,1278),(3960,738),(3114,3762),(3456,2502)
时间6,(8046,4104),(6704.85,1008.62),(4338,4248),(9296.66,7992),(9169.24,6812.74),(11214.9,5599.27),(9495.17,7156.58),(12734.8,2440.92),(11896.6,1034.92),(13151,3629.29),(8415.57,276.624),(8100.51,284.489),(6642,3852),(5868,3834),(6361.68,4083.17),(7730.78,7137.23),(7398,7956),(5588.25,6443.91),(5032.91,6597.26),(3150.67,7110),(3754.62,4280.62),(3087.97,4274.77),(1962,3636),(1881.84,3225.17),(420.921,2042.69),(6624,738),(5859.45,1016.37),(4014.8,1066.8),(3447.28,3756.15),(3122.66,2502)
时间7,(8379.29,4098.71),(6768,756),(4590,4356),(9162,7992),(9176.49,6479.49),(11287.8,5924.53),(9828.34,7167.15),(12401.7,2451.85),(11913.3,1367.84),(13128,3296.75),(8262,288),(8262,288),(6975.34,3852),(5908.51,3503.14),(6390,4086),(7397.56,7128.46),(7064.66,7956),(5580,6246),(5025.82,6930.52),(3484.01,7110),(4087.94,4283.54),(3421.29,4277.7),(1898.16,3308.83),(1945.67,3552.33),(432,2106),(6500.2,1047.49),(5796,936),(4068,1386),(3780.57,3750.31),(3114,2502)
时间8,(8712.59,4093.42),(6894,1062),(4635.55,4686.21),(9144.48,7659.12),(9180,6318),(11360.7,6249.8),(10161.5,7177.73),(12068.5,2462.77),(11929.9,1700.76),(13105,2964.21),(8262,621.336),(7928.74,280.755),(7020,3852),(5949.03,3172.27),(6390,4419.34),(7380,7128),(6750,7956),(5591.69,5912.87),(5022,7110),(3510,7110),(4140,4284),(3754.62,4280.62),(1834.33,2981.67),(1962,3636),(502.28,2431.84),(6408,1278),(5832,738),(4398.24,1340.67),(4113.85,3744.46),(3132,2772)
时间9,(9045.88,4088.13),(6876,1350),(4662,4878),(9144,7650),(9174.35,5984.71),(11376,6318),(10296,7182),(11970,2466),(11946.6,2033.68),(13082,2631.67),(8262,954.672),(7595.49,273.511),(7352.18,3879.68),(5976,2952),(6390,4662),(7430.69,7457.46),(6416.83,7945.42),(5603.38,5579.74),(5355.34,7110),(3574.34,6782.93),(4123.35,4616.92),(4087.94,4283.54),(1818,2898),(1632.35,3685.45),(572.56,2757.69),(6074.66,1278),(5498.66,738),(4728.48,1295.35),(4140,3744),(3456,2808)
时间10,(9180,4086),(6844.4,1681.83),(4716,5184),(9477.34,7650),(9168.7,5651.42),(11042.7,6318),(10275.2,6849.31),(11636.8,2455.9),(11952,2142),(13068,2430),(8262,1288.01),(7434,270),(7452,3888),(5643.82,2924.32),(6390,4328.66),(7452,7596),(6083.66,7934.85),(5615.07,5246.61),(5616,7110),(3638.68,6455.87),(4106.71,4949.84),(4140,4284),(1486.52,2933.16),(1302.7,3734.89),(630,3024),(6066,1278),(5165.33,738),(4986,1260),(4109.82,3412.03),(3456,2502)
