12,0.9605,1,0.333,15.57,20305,96.17
0,(216,342),(4043,342),(7407,805),(7407,4632),(6058,7110),(2231,7110),(907,4106),(5031,2529),(5607,4356),(9990,5256),(11574,7164),(11952,2142)
1,(549,342),(4376,342),(7407,1138),(7407,4965),(5725,7110),(1898,7110),(847,3778),(5031,2862),(5607,4689),(9990,4923),(11574,7164),(11952,2142)
2,(883,342),(4710,342),(7407,1472),(7407,5299),(5391,7110),(1564,7110),(786,3450),(5166,3061),(5607,5023),(9990,4589),(11574,7164),(11952,2142)
3,(1216,342),(5043,342),(7407,1805),(7407,5632),(5058,7110),(1417,6887),(726,3123),(5120,3348),(5453,5202),(9827,4419),(11574,7164),(11952,2142)
4,(1549,342),(5376,342),(7407,2138),(7407,5965),(4725,7110),(1357,6559),(666,2795),(4787,3348),(5120,5202),(9494,4419),(11574,7164),(11952,2142)
5,(1883,342),(5710,342),(7407,2472),(7407,6299),(4391,7110),(1297,6231),(606,2467),(4453,3348),(4786,5202),(9180,4439),(11574,7164),(11952,2142)
6,(2216,342),(6043,342),(7407,2805),(7407,6632),(4058,7110),(1237,5903),(546,2139),(4120,3348),(4653,5002),(9180,4772),(11574,7164),(11952,2142)
7,(2549,342),(6376,342),(7407,3138),(7407,6965),(3725,7110),(1176,5575),(486,1811),(3787,3348),(4653,4669),(9180,5105),(11574,7164),(11952,2142)
8,(2883,342),(6710,342),(7407,3472),(7218,7110),(3391,7110),(1116,5247),(425,1483),(3453,3348),(4674,4356),(9363,5256),(11574,7164),(11952,2142)
9,(3216,342),(7043,342),(7407,3805),(6885,7110),(3058,7110),(1056,4920),(365,1155),(3150,3318),(5007,4356),(9696,5256),(11574,7164),(11952,2142)
10,(3549,342),(7376,342),(7407,4138),(6552,7110),(2725,7110),(996,4592),(305,828),(3150,2985),(5340,4356),(9990,5217),(11574,7164),(11952,2142)
11,(3883,342),(7407,645),(7407,4472),(6218,7110),(2391,7110),(936,4264),(245,500),(3150,2651),(5607,4423),(9990,4883),(11574,7164),(11952,2142)
12,(4216,342),(7407,978),(7407,4805),(5885,7110),(2058,7110),(876,3936),(389,342),(3361,2529),(5607,4756),(9990,4550),(11574,7164),(11952,2142)
13,(4549,342),(7407,1311),(7407,5138),(5552,7110),(1725,7110),(815,3608),(722,342),(3694,2529),(5607,5089),(9788,4419),(11574,7164),(11952,2142)
14,(4883,342),(7407,1645),(7407,5472),(5218,7110),(1446,7044),(755,3280),(1056,342),(4028,2529),(5386,5202),(9454,4419),(11574,7164),(11952,2142)
15,(5216,342),(7407,1978),(7407,5805),(4885,7110),(1386,6717),(695,2952),(1389,342),(4361,2529),(5053,5202),(9180,4478),(11574,7164),(11952,2142)
16,(5549,342),(7407,2311),(7407,6138),(4552,7110),(1326,6389),(635,2625),(1722,342),(4694,2529),(4720,5202),(9180,4811),(11574,7164),(11952,2142)
17,(5883,342),(7407,2645),(7407,6472),(4218,7110),(1265,6061),(575,2297),(2056,342),(5028,2529),(4653,4935),(9180,5145),(11574,7164),(11952,2142)
18,(6216,342),(7407,2978),(7407,6805),(3885,7110),(1205,5733),(515,1969),(2389,342),(5031,2859),(4653,4602),(9402,5256),(11574,7164),(11952,2142)
19,(6549,342),(7407,3311),(7379,7110),(3552,7110),(1145,5405),(454,1641),(2722,342),(5166,3057),(4740,4356),(9735,5256),(11574,7164),(11952,2142)
20,(6883,342),(7407,3645),(7045,7110),(3218,7110),(1085,5077),(394,1313),(3056,342),(5123,3348),(5074,4356),(9990,5177),(11574,7164),(11952,2142)
21,(7216,342),(7407,3978),(6712,7110),(2885,7110),(1025,4749),(334,985),(3389,342),(4790,3348),(5407,4356),(9990,4844),(11574,7164),(11952,2142)
22,(7407,484),(7407,4311),(6379,7110),(2552,7110),(965,4422),(274,657),(3722,342),(4457,3348),(5607,4489),(9990,4511),(11574,7164),(11952,2142)
23,(7407,818),(7407,4645),(6045,7110),(2218,7110),(904,4094),(229,342),(4056,342),(4123,3348),(5607,4823),(9748,4419),(11574,7164),(11952,2142)
24,(7407,1151),(7407,4978),(5712,7110),(1885,7110),(844,3766),(562,342),(4389,342),(3790,3348),(5607,5156),(9415,4419),(11574,7164),(11952,2142)
25,(7407,1484),(7407,5311),(5379,7110),(1552,7110),(784,3438),(895,342),(4722,342),(3457,3348),(5320,5202),(9180,4517),(11574,7164),(11952,2142)
26,(7407,1818),(7407,5645),(5045,7110),(1415,6874),(724,3110),(1229,342),(5056,342),(3150,3321),(4986,5202),(9180,4851),(11574,7164),(11952,2142)
27,(7407,2151),(7407,5978),(4712,7110),(1355,6546),(664,2782),(1562,342),(5389,342),(3150,2988),(4653,5202),(9180,5184),(11574,7164),(11952,2142)
28,(7407,2484),(7407,6311),(4379,7110),(1294,6219),(604,2454),(1895,342),(5722,342),(3150,2655),(4653,4869),(9441,5256),(11574,7164),(11952,2142)
29,(7407,2818),(7407,6645),(4045,7110),(1234,5891),(543,2127),(2229,342),(6056,342),(3358,2529),(4653,4535),(9775,5256),(11574,7164),(11952,2142)
30,(7407,3151),(7407,6978),(3712,7110),(1174,5563),(483,1799),(2562,342),(6389,342),(3691,2529),(4807,4356),(9990,5138),(11574,7164),(11952,2142)
