45.91 	40.03 	76.39 	9.18 	294.95 
46.00 	40.03 	76.39 	9.18 	3.26 
46.10 	40.02 	76.39 	9.18 	4.00 
46.19 	40.01 	76.39 	9.18 	5.15 
48.70 	39.83 	76.39 	9.18 	591.46 
48.79 	39.82 	76.39 	9.18 	595.45 
48.88 	39.82 	75.58 	8.83 	584.50 
48.97 	39.81 	75.58 	8.83 	540.75 
49.06 	39.80 	75.58 	8.83 	532.88 
49.15 	39.80 	75.58 	8.83 	598.48 
51.57 	39.63 	75.58 	8.83 	444.80 
51.66 	39.63 	63.95 	5.62 	442.15 
51.74 	39.62 	63.95 	5.62 	5.06 
51.82 	39.62 	63.95 	5.62 	438.90 
54.12 	39.47 	63.95 	5.62 	538.17 
54.20 	39.47 	63.95 	5.62 	532.15 
54.28 	39.46 	60.53 	9.79 	580.58 
54.36 	39.46 	60.53 	9.79 	579.02 
54.44 	39.45 	60.53 	9.79 	533.72 
54.52 	39.45 	60.53 	9.79 	548.41 
56.55 	39.33 	60.53 	9.79 	494.37 
56.63 	39.32 	60.53 	9.79 	493.59 
56.70 	39.32 	60.53 	9.79 	485.55 
56.78 	39.31 	64.04 	10.72 	487.19 
56.86 	39.31 	64.04 	10.72 	495.29 
56.93 	39.30 	64.04 	10.72 	446.36 
57.01 	39.30 	64.04 	10.72 	1.53 
58.88 	39.20 	64.04 	10.72 	0.50 
58.96 	39.19 	64.04 	10.72 	0.48 
59.03 	39.19 	64.04 	10.72 	0.48 
59.10 	39.18 	64.04 	10.72 	0.49 
59.18 	39.18 	62.68 	18.24 	2.07 
59.25 	39.18 	62.68 	18.24 	346.75 
59.32 	39.17 	62.68 	18.24 	342.78 
59.40 	39.17 	62.68 	18.24 	3.31 
59.47 	39.16 	62.68 	18.24 	3.17 
59.54 	39.16 	62.68 	18.24 	3.19 
59.62 	39.16 	62.68 	18.24 	3.11 
61.20 	39.08 	62.68 	18.24 	428.92 
61.27 	39.07 	62.68 	18.24 	481.74 
61.34 	39.07 	62.68 	18.24 	492.89 
61.42 	39.07 	62.68 	18.24 	499.14 
61.49 	39.06 	62.65 	12.91 	491.35 
61.56 	39.06 	62.65 	12.91 	480.27 
61.63 	39.06 	62.65 	12.91 	539.80 
61.70 	39.05 	62.65 	12.91 	531.50 
63.38 	38.97 	62.65 	12.91 	496.43 
63.45 	38.97 	62.65 	12.91 	498.16 
63.52 	38.97 	62.65 	12.91 	496.51 
63.58 	38.96 	62.65 	12.91 	496.51 
63.65 	38.96 	62.65 	12.91 	498.16 
63.72 	38.96 	66.21 	20.98 	495.30 
63.79 	38.95 	66.21 	20.98 	490.15 
63.86 	38.95 	66.21 	20.98 	488.00 
