11.835	0.48	14.36	25.21	25.21	0.81	0.98
45.596	0.526	13.85	24.04	26.01	0.91	0.96
3.525	0.086	24.4	49.3	11.3	6.82	0.85
3.681	0.37	13.57	25.12	26	0.82	1.01
48.287	0.386	14.5	25.9	23.32	2.18	0.93
17.956	0.28	9.75	17.05	37.2	0.464	0.98
7.37	0.506	13.6	34.28	10.69	8.8	0.56
4.223	0.34	3.8	7.1	88.2	1.11	0.97
6.442	0.19	4.7	9.1	73.2	0.74	1.03
16.234	0.39	3.1	5.4	121.5	0.42	1
10.585	0.42	2.4	4.7	135.6	0.87	0.98
23.535	0.23	2.6	4.6	151.8	0.31	1.02
5.398	0.12	2.8	6.2	111.2	1.14	1.07
283.149	0.148	1.763	2.968	215.86	0.14	0.98
316.604	0.317	1.453	2.432	263.41	0.249	0.98
307.31	0.173	1.627	2.729	235.7	0.214	0.99
322.515	0.312	1.382	2.32	282.21	0.024	1
254.58	0.297	0.899	1.476	410.3	0.239	0.93
304.092	0.283	0.789	1.357	438.36	0.193	1.01
202.446	0.042	0.741	1.266	309.77	0.29	0.99
