307
1	14418	8046
2	11664	8010
3	8118	7974
4	9162	7992
5	9630	7992
6	7398	7956
7	4716	7956
8	6750	7956
9	1602	7938
10	3528	7902
11	5616	7920
12	2502	7902
13	8118	7668
14	1566	7650
15	9144	7650
16	9594	7650
17	10332	7650
18	7452	7596
19	6534	7290
20	5598	7254
21	11574	7164
22	6750	7146
23	8064	7146
24	10296	7182
25	9162	7146
26	2484	7110
27	4644	7110
28	6480	7128
29	7380	7128
30	3510	7110
31	5022	7110
32	1458	7092
33	2106	7074
34	5616	7110
35	14544	7020
36	1404	6984
37	13302	6984
38	2268	6858
39	14040	6840
40	14418	6840
41	8460	6642
42	8100	6606
43	1314	6480
44	9180	6318
45	11376	6318
46	2772	6282
47	8478	6300
48	9810	6300
49	10242	6318
50	6732	6282
51	7380	6264
52	8118	6282
53	5040	6264
54	5580	6246
55	5238	6210
56	6372	6210
57	4518	6192
58	4158	6084
59	3888	6066
60	3726	6012
61	9846	5976
62	3096	5958
63	10242	5922
64	5238	5886
65	4104	5868
66	1692	5832
67	1224	5814
68	4626	5814
69	4104	5688
70	4554	5634
71	1728	5652
72	5094	5634
73	3042	5508
74	4500	5508
75	5058	5454
76	4914	5346
77	13050	5346
78	9846	5292
79	13266	5292
80	4194	5238
81	11142	5274
82	3474	5238
83	7434	5256
84	9162	5256
85	9972	5256
86	10458	5238
87	5616	5220
88	8118	5220
89	3042	5220
90	5274	5202
91	6372	5220
92	1080	5202
93	4050	5202
94	1548	5184
95	2394	5184
96	4716	5184
97	2196	5166
98	4932	5184
99	5292	5058
100	4104	5004
101	5130	4968
102	2160	4950
103	4986	4896
104	4662	4878
105	5508	4878
106	5634	4860
107	6408	4860
108	7398	4842
109	1566	4788
110	5274	4788
111	990	4752
112	4968	4680
113	2124	4662
114	6390	4662
115	8082	4662
116	9162	4662
117	7398	4662
118	5562	4608
119	5346	4572
120	5886	4554
121	4986	4572
122	10008	4446
123	9198	4392
124	4590	4356
125	5598	4356
126	5994	4356
127	5472	4356
128	900	4338
129	5004	4302
130	1278	4266
131	2088	4266
132	4140	4284
133	5292	4284
134	5832	4284
135	4338	4248
136	9954	4230
137	10422	4230
138	8046	4104
139	7416	4104
140	6390	4086
141	9180	4086
142	5508	4068
143	5616	4050
144	5922	4050
145	6678	4050
146	6030	4050
147	6984	4050
148	9882	4032
149	7452	3888
150	6642	3852
151	8316	3888
152	6408	3852
153	5868	3834
154	7020	3852
155	6840	3726
156	5580	3780
157	810	3762
158	1242	3744
159	3114	3762
160	4140	3744
161	4644	3762
162	5166	3780
