15,2.266,2.092,1.788,0.749
0,(13302,6984),(10872,216),(11304,2160),(630,3024),(7848,3132),(9180,6318),(9162,4662),(1818,2898),(3510,7110),(6372,6210),(3474,5238),(6840,2322),(4104,2916),(7812,2898),(6012,2214)
1,(12956,7020),(10944,540),(11025,2277),(720,3393),(8166,3294),(9171,6732),(9162,4959),(1890,3267),(3519,7506),(6732,6282),(3600,5625),(6858,2664),(4140,3132),(7452,2988),(5769,2277)
2,(12610,7056),(11016,864),(10746,2394),(810,3762),(8484,3456),(9162,7146),(9162,5256),(1962,3636),(3528,7902),(6738,6570),(3726,6012),(6696,2754),(4104,3348),(7479,3303),(5526,2340)
3,(12265,7092),(11088,1188),(10467,2511),(855,4050),(8802,3618),(9153,7398),(9168,5610),(2025,3951),(3825,7915),(6744,6858),(3654,6378),(6768,2952),(4140,3744),(7506,3618),(5535,2628)
4,(11919,7128),(11160,1512),(10188,2628),(900,4338),(9139,3618),(9144,7650),(9174,5964),(2088,4266),(4122,7929),(6750,7146),(3582,6744),(6516,2934),(4140,4014),(7452,3888),(5544,2916)
5,(11574,7164),(11232,1836),(9846,2682),(990,4752),(9477,3618),(9162,7992),(9180,6318),(2124,4662),(4419,7942),(6750,7551),(3510,7110),(6246,2943),(4140,4284),(7416,4104),(5364,2952)
6,(11604,7446),(11304,2160),(9504,2736),(1080,5202),(9814,3618),(8814,7986),(9171,6732),(2160,4950),(4716,7956),(6750,7956),(3519,7506),(5976,2952),(4122,4644),(7407,4383),(5580,3312)
7,(11634,7728),(11376,2448),(9162,2790),(1548,5184),(10152,3618),(8466,7980),(9162,7146),(2394,5184),(4692,7674),(7074,7956),(3528,7902),(5940,3246),(4104,5004),(7398,4662),(5580,3780)
8,(11664,8010),(11304,2160),(9180,2664),(1566,4788),(9814,3618),(8118,7974),(9171,6732),(2196,5166),(4668,7392),(7398,7956),(3519,7506),(5904,3540),(4194,5238),(7398,4842),(5616,4050)
9,(12008,8014),(11628,2151),(9198,2340),(1548,5184),(9477,3618),(8118,7668),(9180,6318),(1872,5175),(4644,7110),(7452,7596),(3510,7110),(5868,3834),(4050,5202),(7434,5256),(5598,4356)
10,(12352,8019),(11952,2142),(9180,2664),(1080,5202),(9139,3618),(8091,7407),(8829,6309),(1548,5184),(5022,7110),(7380,7128),(3888,7110),(5922,4050),(4194,5238),(7398,4842),(5616,4050)
11,(12696,8023),(11934,1782),(9162,2790),(990,4752),(8802,3618),(8064,7146),(8478,6300),(1566,4788),(5319,7110),(7722,7137),(4266,7110),(6030,4050),(4455,5211),(7434,5256),(5508,4068)
12,(13041,8028),(11916,1422),(9504,2736),(1278,4770),(9139,3618),(7722,7137),(8460,6642),(1548,5184),(5616,7110),(8064,7146),(4644,7110),(6408,3852),(4716,5184),(7398,4842),(5616,4050)
13,(13385,8032),(11898,1062),(9846,2682),(1566,4788),(9477,3618),(7380,7128),(8478,6300),(1872,5175),(5598,7254),(8082,6876),(4602,6804),(6840,3726),(4662,4878),(7398,4662),(5922,4050)
14,(13729,8037),(11880,702),(10188,2628),(1548,5184),(9814,3618),(7380,6840),(8118,6282),(2196,5166),(5616,7110),(8100,6606),(4560,6498),(7110,3582),(4986,4896),(7062,4662),(6030,4050)
15,(14073,8041),(12246,696),(10467,2511),(1080,5202),(10152,3618),(7380,6552),(8118,5928),(2394,5184),(5598,7254),(8460,6642),(4518,6192),(7020,3852),(4968,4680),(6726,4662),(5922,4050)
16,(14418,8046),(12612,690),(10746,2394),(990,4752),(9814,3618),(7380,6264),(8118,5574),(2160,4950),(5616,7110),(8478,6300),(4779,6228),(6984,4050),(4986,4572),(6390,4662),(5868,3834)
17,(14460,7704),(12978,684),(11025,2277),(900,4338),(9477,3618),(7056,6273),(8118,5220),(2124,4662),(5319,7110),(8118,6282),(5040,6264),(7416,4104),(5004,4302),(6390,4374),(6174,3726)
18,(14502,7362),(12969,423),(11304,2160),(1278,4266),(9139,3618),(6732,6282),(7776,5238),(1845,4725),(5022,7110),(7749,6273),(5238,6210),(7452,3888),(4590,4356),(6390,4086),(6552,3690)
19,(14544,7020),(12960,162),(11376,2448),(1683,4266),(8802,3618),(7056,6273),(7434,5256),(1566,4788),(5028,6828),(7380,6264),(5580,6246),(7506,3618),(4338,4248),(6678,4050),(6840,3546)
20,(14418,6840),(12600,174),(11673,2457),(2088,4266),(8484,3456),(7380,6264),(7398,4842),(1548,5184),(5034,6546),(7398,5928),(5592,5904),(7722,3636),(4590,4356),(6984,4050),(7110,3582)
21,(14040,6840),(12240,186),(11970,2466),(2025,3951),(8166,3294),(7749,6273),(7398,4662),(1872,5175),(5040,6264),(7416,5592),(5604,5562),(7830,3528),(4626,4617),(7020,3852),(7308,3186)
22,(13842,6541),(11880,198),(12336,2454),(1962,3636),(7848,3132),(8118,6282),(7062,4662),(2196,5166),(5238,6210),(7434,5256),(5616,5220),(8262,3654),(4662,4878),(6642,3852),(7452,2988)
23,(13644,6242),(11880,450),(12702,2442),(1602,3690),(7677,3375),(8100,6606),(6726,4662),(2394,5184),(5040,6264),(7776,5238),(5274,5202),(7830,3528),(4716,5184),(6408,3852),(7479,3303)
24,(13446,5943),(11880,702),(13068,2430),(1242,3744),(7506,3618),(8460,6642),(6390,4662),(2160,4950),(4779,6228),(8118,5220),(5058,5454),(7722,3636),(4455,5211),(6030,4050),(7506,3618)
25,(13248,5644),(11898,1062),(13050,2088),(1260,4005),(7452,3888),(8478,6300),(6726,4662),(2124,4662),(4518,6192),(8118,5574),(4806,5544),(7506,3618),(4194,5238),(5994,4356),(7452,3888)
26,(13050,5346),(11916,1422),(12684,2106),(1278,4266),(7416,4104),(8460,6642),(7062,4662),(2088,4266),(4158,6084),(8118,5928),(4554,5634),(7677,3375),(4050,5202),(5886,4554),(7506,3618)
27,(13266,5292),(11934,1782),(12318,2124),(1683,4266),(7407,4383),(8100,6606),(7398,4662),(1683,4266),(3888,6066),(8118,6282),(4329,5751),(7848,3132),(4104,5004),(5994,4356),(7722,3636)
28,(13458,5550),(11952,2142),(11952,2142),(2088,4266),(7398,4662),(8082,6876),(7740,4662),(1278,4266),(3726,6012),(8100,6606),(4104,5868),(7677,3375),(4122,4644),(5886,4554),(7506,3618)
