20,2.066,1.972,1.464,0.786
0,(8802,3618),(432,2106),(11952,2142),(13050,2088),(8748,252),(14418,6840),(3960,738),(10296,7182),(9162,5256),(9198,4392),(1224,5814),(6750,7146),(3510,7110),(6876,1350),(3132,2916),(4140,4284),(6012,2214),(7308,3186),(5562,4608),(5580,3780)
1,(9139,3618),(498,2412),(11628,2151),(13068,2430),(8860,562),(14544,7020),(4014,1062),(10332,7650),(9168,5610),(9162,4662),(1269,6147),(6750,7551),(3519,7506),(6840,1728),(3168,3186),(4122,4644),(5769,2277),(7110,3582),(5634,4860),(5616,4050)
2,(9477,3618),(564,2718),(11304,2160),(12702,2442),(8973,873),(14502,7362),(4068,1386),(9963,7650),(9174,5964),(9162,4959),(1314,6480),(6750,7956),(3528,7902),(6840,2025),(3186,3366),(4104,5004),(5526,2340),(7020,3852),(5616,5220),(5598,4356)
3,(9814,3618),(630,3024),(11025,2277),(12336,2454),(9085,1183),(14460,7704),(4077,1728),(9594,7650),(9180,6318),(9162,5256),(1359,6732),(7074,7956),(3825,7915),(6840,2322),(3114,3762),(4194,5238),(5535,2628),(6984,4050),(5604,5562),(5562,4608)
4,(10152,3618),(720,3393),(10746,2394),(11970,2466),(9198,1494),(14418,8046),(4086,2070),(9630,7992),(9171,6732),(9168,5610),(1404,6984),(7398,7956),(4122,7929),(6858,2664),(3456,3756),(4050,5202),(5544,2916),(7416,4104),(5592,5904),(5634,4860)
5,(9814,3618),(810,3762),(10467,2511),(11673,2457),(9198,1776),(14460,7704),(4122,2250),(9969,7995),(9162,7146),(9174,5964),(1458,7092),(7758,7965),(4419,7942),(6696,2754),(3798,3750),(4104,5688),(5364,2952),(7407,4383),(5580,6246),(5616,5220)
6,(9477,3618),(1242,3744),(10188,2628),(11376,2448),(9198,2058),(14502,7362),(4104,2484),(10308,7998),(9171,6732),(9180,6318),(1512,7371),(8118,7974),(4716,7956),(6768,2952),(4140,3744),(3726,6012),(5580,3312),(7398,4662),(5238,6210),(5274,5202)
7,(9139,3618),(810,3762),(10467,2511),(11304,2160),(9198,2340),(14544,7020),(4104,2808),(10647,8001),(9180,6318),(9174,5964),(1566,7650),(8118,7668),(4692,7674),(6516,2934),(4104,3348),(3888,6066),(5580,3780),(7398,4842),(5040,6264),(5058,5454)
8,(8802,3618),(1242,3744),(10746,2394),(11628,2151),(9198,2058),(14502,7362),(4104,2916),(10986,8004),(8829,6309),(9168,5610),(1602,7938),(7785,7632),(4668,7392),(6516,2718),(3852,3330),(4158,6084),(5580,3312),(7068,4848),(5238,6210),(5274,5202)
9,(8484,3456),(810,3762),(11025,2277),(11952,2142),(9198,1776),(14460,7704),(4104,2808),(11325,8007),(8478,6300),(9162,5256),(1566,7650),(7452,7596),(4644,7110),(6282,2538),(3438,3330),(4518,6192),(5580,3780),(6738,4854),(5238,5886),(4932,5184)
10,(8166,3294),(720,3393),(11304,2160),(11628,2151),(9198,1494),(14418,8046),(4104,2916),(11664,8010),(8460,6642),(9504,5274),(1836,7362),(7380,7128),(5022,7110),(6156,2142),(3312,3348),(4158,6084),(5580,3312),(6408,4860),(5094,5634),(4914,5346)
11,(7848,3132),(630,3024),(11376,2448),(11304,2160),(9198,1776),(14460,7704),(4104,2808),(11634,7728),(8478,6300),(9846,5292),(2106,7074),(7722,7137),(5319,7110),(6012,2214),(3186,3366),(4104,5868),(5364,2952),(6390,4662),(5058,5454),(4932,5184)
12,(7677,3375),(927,2992),(11673,2457),(11376,2448),(9198,2058),(14502,7362),(4104,2484),(11604,7446),(8118,6282),(9972,5256),(2268,6858),(8064,7146),(5616,7110),(6156,2142),(3114,3762),(4329,5751),(5058,2916),(6390,4374),(4806,5544),(4716,5184)
13,(7506,3618),(1224,2961),(11970,2466),(11673,2457),(9198,2340),(14544,7020),(4122,2250),(11574,7164),(8118,5928),(10458,5238),(2520,6570),(8082,6876),(5319,7110),(6282,2142),(3456,3756),(4554,5634),(4626,2934),(6390,4086),(4554,5634),(4662,4878)
14,(7452,3888),(1521,2929),(12336,2454),(11970,2466),(9198,2058),(14418,6840),(3798,2250),(11508,6882),(8118,5574),(10446,4902),(2772,6282),(8100,6606),(5022,7110),(6336,2358),(3798,3750),(4329,5751),(4518,2934),(6678,4050),(4329,5751),(4986,4896)
15,(7416,4104),(1818,2898),(12702,2442),(12336,2454),(9198,1776),(14040,6840),(3474,2250),(11442,6600),(8118,5220),(10434,4566),(3096,5958),(8460,6642),(4644,7110),(6597,2511),(4140,3744),(4104,5868),(4626,2934),(6642,3852),(4104,5868),(5130,4968)
16,(7452,3888),(1770,2604),(13068,2430),(12702,2442),(9198,1494),(13671,6912),(3798,2250),(11376,6318),(7776,5238),(10422,4230),(2745,5926),(8100,6606),(4602,6804),(6858,2664),(4104,3348),(3888,6066),(4608,2736),(6408,3852),(4104,5688),(5292,5058)
17,(7416,4104),(1722,2310),(13050,2088),(13068,2430),(9085,1183),(13302,6984),(4122,2250),(10998,6318),(7434,5256),(9954,4230),(2394,5895),(8118,6282),(4560,6498),(7074,2718),(4356,3348),(3726,6012),(5022,2736),(6030,4050),(4500,5508),(5508,4878)
18,(7452,3888),(1674,2016),(13068,2430),(13050,2088),(8973,873),(13671,6912),(4590,2250),(10620,6318),(7398,4842),(9882,4032),(2043,5863),(7749,6273),(4518,6192),(7308,2844),(4644,3330),(3600,5625),(5004,2556),(5994,4356),(4914,5346),(5292,5058)
