,Index_Num,starttime,resolution,speed,volume,occupancy
0,16,2014-02-01T00:35:00,0:05:00,,0.0,0.0
1,18,2014-02-01T00:40:00,0:05:00,67.0,0.0,0.0
3,21,2014-02-01T00:50:00,0:05:00,59.14,14.0,1.13
4,23,2014-02-01T00:55:00,0:05:00,62.33,3.0,0.17
5,26,2014-02-01T01:00:00,0:05:00,42.89,9.0,0.8
6,28,2014-02-01T01:05:00,0:05:00,58.5,8.0,0.58
12,52,2014-02-01T02:05:00,0:05:00,55.0,1.0,0.08
13,53,2014-02-01T02:10:00,0:05:00,58.5,4.0,0.13
14,55,2014-02-01T02:15:00,0:05:00,62.8,5.0,0.42
15,57,2014-02-01T02:20:00,0:05:00,58.5,4.0,0.13
19,66,2014-02-01T02:40:00,0:05:00,62.0,4.0,0.27
20,67,2014-02-01T02:45:00,0:05:00,56.0,2.0,0.83
21,70,2014-02-01T02:50:00,0:05:00,67.5,4.0,0.13
22,77,2014-02-01T03:10:00,0:05:00,65.68,2.0,0.13
23,85,2014-02-01T03:30:00,0:05:00,63.86,7.0,0.27
24,87,2014-02-01T03:35:00,0:05:00,63.0,5.0,0.5
25,89,2014-02-01T03:40:00,0:05:00,67.89,18.0,0.87
26,91,2014-02-01T03:45:00,0:05:00,69.5,4.0,0.17
27,93,2014-02-01T03:50:00,0:05:00,71.0,4.0,0.13
28,96,2014-02-01T03:55:00,0:05:00,58.8,5.0,0.25
30,105,2014-02-01T04:20:00,0:05:00,65.12,17.0,1.635
31,113,2014-02-01T04:40:00,0:05:00,64.39,46.0,3.27
32,115,2014-02-01T04:45:00,0:05:00,64.52,33.0,2.33
33,118,2014-02-01T04:50:00,0:05:00,67.64,39.0,2.2
34,120,2014-02-01T04:55:00,0:05:00,65.36,22.0,1.42
35,122,2014-02-01T05:00:00,0:05:00,64.54,50.0,3.8
36,124,2014-02-01T05:05:00,0:05:00,66.46,46.0,4.58
37,125,2014-02-01T05:10:00,0:05:00,66.16,67.0,5.07
38,133,2014-02-01T05:30:00,0:05:00,62.84,102.5,10.13
39,148,2014-02-01T06:05:00,0:05:00,60.98,120.25,12.58
40,161,2014-02-01T06:40:00,0:05:00,33.16,129.125,29.13
41,176,2014-02-01T07:15:00,0:05:00,37.915,138.0,20.5
42,183,2014-02-01T07:35:00,0:05:00,42.67,139.0,20.67
43,185,2014-02-01T07:40:00,0:05:00,34.56,176.0,30.07
44,188,2014-02-01T07:45:00,0:05:00,26.43,103.0,29.17
45,190,2014-02-01T07:50:00,0:05:00,29.88,146.0,30.8
46,191,2014-02-01T07:55:00,0:05:00,21.5,101.0,37.33
47,194,2014-02-01T08:00:00,0:05:00,32.67,147.0,30.07
48,196,2014-02-01T08:05:00,0:05:00,37.71,109.0,22.92
49,197,2014-02-01T08:10:00,0:05:00,36.36,94.0,24.56
50,200,2014-02-01T08:15:00,0:05:00,36.64,121.0,24.67
51,201,2014-02-01T08:20:00,0:05:00,37.54,154.0,26.6
52,204,2014-02-01T08:25:00,0:05:00,31.88,117.0,29.42
53,206,2014-02-01T08:30:00,0:05:00,23.54,137.0,38.8
54,207,2014-02-01T08:35:00,0:05:00,44.29,132.0,20.0
55,210,2014-02-01T08:40:00,0:05:00,45.84,138.0,25.89
56,211,2014-02-01T08:45:00,0:05:00,34.99,134.0,23.42
57,214,2014-02-01T08:50:00,0:05:00,40.68,168.0,22.8
58,216,2014-02-01T08:55:00,0:05:00,34.1,133.0,29.58
59,217,2014-02-01T09:00:00,0:05:00,40.58,151.0,25.33
60,219,2014-02-01T09:05:00,0:05:00,61.89,87.0,9.75
61,221,2014-02-01T09:10:00,0:05:00,60.44,152.0,13.33
62,223,2014-02-01T09:15:00,0:05:00,59.57,116.0,13.92
63,226,2014-02-01T09:20:00,0:05:00,61.3,99.0,15.67
64,227,2014-02-01T09:25:00,0:05:00,61.87,127.0,13.58
65,230,2014-02-01T09:30:00,0:05:00,61.64,103.0,8.2
66,232,2014-02-01T09:35:00,0:05:00,62.79,89.0,8.92
67,233,2014-02-01T09:40:00,0:05:00,60.0,17.0,1.67
68,236,2014-02-01T09:45:00,0:05:00,63.22,59.0,12.33
69,238,2014-02-01T09:50:00,0:05:00,61.6,155.0,13.33
70,239,2014-02-01T09:55:00,0:05:00,62.14,42.0,8.33
71,242,2014-02-01T10:00:00,0:05:00,61.51,152.0,12.47
72,243,2014-02-01T10:05:00,0:05:00,63.78,110.0,11.17
73,245,2014-02-01T10:10:00,0:05:00,59.44,91.0,14.44
74,248,2014-02-01T10:15:00,0:05:00,62.48,116.0,12.5
75,250,2014-02-01T10:20:00,0:05:00,62.38,126.0,10.87
76,252,2014-02-01T10:25:00,0:05:00,63.66,58.0,6.75
77,260,2014-02-01T10:45:00,0:05:00,64.69,111.0,7.24
78,273,2014-02-01T11:20:00,0:05:00,64.8,101.0,7.73
79,282,2014-02-01T11:40:00,0:05:00,64.91,92.0,7.27
80,284,2014-02-01T11:45:00,0:05:00,62.54,106.0,11.5
81,286,2014-02-01T11:50:00,0:05:00,63.63,103.0,8.13
82,287,2014-02-01T11:55:00,0:05:00,64.0,82.0,9.67
83,290,2014-02-01T12:00:00,0:05:00,61.2,146.0,13.4
84,292,2014-02-01T12:05:00,0:05:00,60.26,119.0,13.33
85,294,2014-02-01T12:10:00,0:05:00,62.25,117.0,10.33
86,302,2014-02-01T12:30:00,0:05:00,63.32,129.0,11.0
87,309,2014-02-01T12:50:00,0:05:00,64.39,88.0,6.27
88,311,2014-02-01T12:55:00,0:05:00,62.35,71.0,7.67
89,314,2014-02-01T13:00:00,0:05:00,62.47,94.0,7.8
90,315,2014-02-01T13:05:00,0:05:00,62.06,85.0,8.83
91,318,2014-02-01T13:10:00,0:05:00,63.38,52.0,4.13
92,320,2014-02-01T13:15:00,0:05:00,60.47,34.0,3.92
93,321,2014-02-01T13:20:00,0:05:00,62.68,63.0,8.22
94,329,2014-02-01T13:40:00,0:05:00,62.17,86.5,8.07
95,338,2014-02-01T14:00:00,0:05:00,61.42,110.0,9.07
96,340,2014-02-01T14:05:00,0:05:00,63.48,79.0,7.67
97,342,2014-02-01T14:10:00,0:05:00,61.55,132.0,12.4
98,343,2014-02-01T14:15:00,0:05:00,61.79,115.0,11.92
99,345,2014-02-01T14:20:00,0:05:00,62.31,115.0,8.73
100,348,2014-02-01T14:25:00,0:05:00,61.52,145.0,15.25
101,350,2014-02-01T14:30:00,0:05:00,62.29,119.0,9.2
102,352,2014-02-01T14:35:00,0:05:00,64.12,111.0,11.58
103,354,2014-02-01T14:40:00,0:05:00,63.09,173.0,14.93
104,356,2014-02-01T14:45:00,0:05:00,61.27,131.0,13.33
105,357,2014-02-01T14:50:00,0:05:00,63.66,123.0,10.0
106,359,2014-02-01T14:55:00,0:05:00,60.45,123.0,13.17
107,362,2014-02-01T15:00:00,0:05:00,64.3,146.0,11.4
108,364,2014-02-01T15:05:00,0:05:00,61.9,112.0,12.25
109,366,2014-02-01T15:10:00,0:05:00,62.71,158.0,12.93
110,368,2014-02-01T15:15:00,0:05:00,61.7,118.0,13.08
111,369,2014-02-01T15:20:00,0:05:00,60.35,153.0,13.0
112,371,2014-02-01T15:25:00,0:05:00,61.66,148.0,14.75
113,373,2014-02-01T15:30:00,0:05:00,61.88,169.0,13.93
114,375,2014-02-01T15:35:00,0:05:00,62.5,140.0,15.75
115,378,2014-02-01T15:40:00,0:05:00,61.31,150.0,12.13
116,380,2014-02-01T15:45:00,0:05:00,61.16,147.0,16.5
117,381,2014-02-01T15:50:00,0:05:00,62.41,150.0,12.73
118,384,2014-02-01T15:55:00,0:05:00,61.36,159.0,16.17
119,386,2014-02-01T16:00:00,0:05:00,63.86,165.0,13.93
120,387,2014-02-01T16:05:00,0:05:00,58.08,159.0,18.42
121,390,2014-02-01T16:10:00,0:05:00,61.01,175.0,15.87
122,391,2014-02-01T16:15:00,0:05:00,59.99,146.0,15.5
123,400,2014-02-01T16:35:00,0:05:00,61.65,120.0,13.5
124,413,2014-02-01T17:10:00,0:05:00,61.11,94.0,12.75
125,421,2014-02-01T17:30:00,0:05:00,60.25,89.0,12.0
