starttime,speed,volume,occupancy,speed_1,volume_1,occupancy_1,result,filter_$,预测_speed_1_模型_1,预测_volume_1_模型_2,预测_occupancy_1_模型_3,预测_result_模型_4,年,月,天,小时,分钟,秒,预测值,时间部分,speed_1_mean_1,volume_1_mean_1,occupancy_1_mean_1,ID
1/1/2009 0:00:00,58.22, ,1.93,58.22,19,1.93,98.5654385964912,1,65.9022380902415, , ,186.048859813653,2009,1,1,0,0,0,203.739459663785,0:00:00,63.8637027378342,28.2539459859677,2.99892723824731,1
1/1/2009 0:05:00,57.37,19,1.54,57.37,19,1.54,77.4998245614035,1,65.2484169221159, ,2.36016661831411,162.068420758753,2009,1,1,0,5,0,192.409024331042,0:05:00,68.0858754924287,30.697435908,3.62889437092778,2
1/1/2009 0:10:00,129.0523684, ,1.47,129.0523684,24.5,1.47,129.0523684,1,64.6627298872041, ,2.04442076209363,149.518972199625,2009,1,1,0,10,0,429.003573009016,0:10:00,69.0383880010569,29.2850031852874,4.26897165995567,3
1/1/2009 0:15:00, ,30, ,65.8899244884418,30,5.2964633125,193.87975984246,1,69.4996658765784, ,1.94634595254186,170.469214491155,2009,1,1,0,15,0,254.743137424832,0:15:00,65.6258238061472,23.1620907105556,3.64005157010873,4
1/1/2009 0:20:00,55.34,35,9.122926625,55.34,35,9.122926625,240.410837822619,1,69.0508542622807, ,3.94942038057136,189.619692843563,2009,1,1,0,20,0,275.022575776193,0:20:00,66.25760852871,26.9098260799444,3.49817598484921,5
1/1/2009 0:25:00, ,74.68058711,2.73,65.8899244884418,74.68058711,2.73,40.1441884730799,1,67.9528449006839, ,6.17959130103024,207.57563589941,2009,1,1,0,25,0,5.59402134283291,0:25:00,69.4290982308659,31.9316553381111,3.68946706046191,6
1/1/2009 0:30:00, , , ,65.8899244884418,61.7870580733333,2.77666666666667,49.3507763333158,1,67.7068344107418, ,3.52695725702974,124.278925756847,2009,1,1,0,30,0,62.8602635926515,0:30:00,65.4875676365325,32.5112138675556,3.21307843836349,7
1/1/2009 0:35:00,57.56, , ,57.56,48.8935290366667,2.82333333333333,55.3962422255629,1,67.4932815600316, ,3.44639201908371,132.502192278991,2009,1,1,0,35,0,89.6713642062515,0:35:00,60.0856364620434,26.6450663637778,3.66451920337063,8
1/1/2009 0:40:00,121.740294,36,2.87,121.740294,36,2.87,161.756779527778,1,66.7860824689092, ,3.39799091847207,123.749770351419,2009,1,1,0,40,0,381.587986148742,0:40:00,66.6729312624287,22.6187948515,3.01416021312778,9
1/1/2009 0:45:00, ,82.52351918, ,65.8899244884418,82.52351918,3,39.9219065929089,1,70.11889393043,35.9968967118359,3.37258554070589,173.942565559564,2009,1,1,0,45,0,-22.9489706492173,0:45:00,62.7180682965325,25.3715505772222,2.68931696963333,10
1/1/2009 0:50:00,57.34,38,3.13,57.34,38,3.13,78.7167543859649,1,69.634149908965,67.9326344978716,3.41106310686818,113.371998082068,2009,1,1,0,50,0,142.884766962615,0:50:00,64.2440356139697,22.2773645635556,3.66904510575333,11
1/1/2009 0:55:00,56.46, ,3.13,56.46,48.0285673133333,3.13,61.3245442193804,1,68.6935940646614,43.3640788044026,3.46987221903181,144.4154585317,2009,1,1,0,55,0,95.8910811924171,0:55:00,67.0238373175845,21.6952503907778,3.25307804485111,12
1/1/2009 1:00:00, , ,2.4,65.8899244884418,58.0571346266667,2.4,45.3966079532815,1,67.8135348788234,49.3080516065041,3.47256223982806,121.334681578047,2009,1,1,1,0,0,71.2003580443006,1:00:00,68.6717812665325,23.9342715979722,3.62369614699333,13
1/1/2009 1:05:00, ,68.08570194, ,65.8899244884418,68.08570194,2.75666666666667,44.4627269580861,1,67.5962951525386,54.1207711224176,3.05821410940155,117.480870121563,2009,1,1,1,5,0,34.9439927234968,1:05:00,67.4360723828139,20.5863096140556,2.71674269719111,14
1/1/2009 1:10:00, , , ,65.8899244884418,50.54285097,3.11333333333333,67.6446798125293,1,67.404182265197,59.158247754036,3.19111886677834,111.442213143904,2009,1,1,1,10,0,119.041295621831,1:10:00,60.6852357494806,22.1877354806706,3.27798223218333,15
1/1/2009 1:15:00,56.09,33,3.47,56.09,33,3.47,98.2991414141414,1,67.2341353020661,51.8432844366753,3.3699289937008,123.705749378073,2009,1,1,1,15,0,167.308971404833,1:15:00,67.1415397661472,24.2084234133413,2.82485130865222,16
1/1/2009 1:20:00,56.4,30,2.47,56.4,30,2.47,77.3933333333333,1,66.5103575843284,44.0487956707223,3.585523715789,135.735355227732,2009,1,1,1,20,0,160.453900226932,1:20:00,68.0572029594806,13.9119786795397,2.38531031761556,17
1/1/2009 1:25:00,115.2140901,31,9.136100655,115.2140901,31,9.136100655,565.918023670881,1,65.8876690026915,41.6449559779372,3.08190927376706,128.132286414487,2009,1,1,1,25,0,511.667392137695,1:25:00,81.0989092029109,19.2823287236946,3.41822901643793,18
1/1/2009 1:30:00,127.6676092,28,2.27,127.6676092,28,2.27,172.503257669048,1,68.7602706709084,40.2388080821525,6.31156889008669,227.879984823515,2009,1,1,1,30,0,425.529833712452,1:30:00,72.5931841565325,25.785476764381,3.24272049067,19
1/1/2009 1:35:00, , ,2,65.8899244884418,33,2,66.5554792812543,1,72.0299559810779,39.0634968866715,3.36536901760338,159.437204997282,2009,1,1,1,35,0,172.145195233279,1:35:00,65.5639009861473,30.9177511728571,2.40683567242778,20
1/1/2009 1:40:00,54.74,38,2.8,54.74,38,2.8,67.2245614035088,1,71.3422064118739,38.6051235952099,3.02540543443504,136.246410956787,2009,1,1,1,40,0,126.42117149978,1:40:00,74.1523580494806,27.4606531833889,3.76618556534444,21
1/1/2009 1:45:00,131.4386483, ,2.93,131.4386483,28.5,2.93,225.213590361988,1,70.0851959503905,40.3922863060472,3.2909683004497,125.609994513119,2009,1,1,1,45,0,451.050002438522,1:45:00,74.5040877041066,19.8644697244828,3.25504308918391,22
1/1/2009 1:50:00, ,19, ,65.8899244884418,19,2.53,146.22939382084,1,73.4147141476702,35.8707331340836,3.27584567013373,175.598954745385,2009,1,1,1,50,0,244.431935691783,1:50:00,72.3700749116581,17.0358756943889,2.49989212571667,23
1/1/2009 1:55:00,58.5, ,2.13,58.5,20.3333333333333,2.13,102.135245901639,1,72.5727439061615,31.536313430784,3.0879276453715,155.968592578784,2009,1,1,1,55,0,203.159746640079,1:55:00,68.9040165839697,16.4052429051111,2.83249872467778,24
1/1/2009 2:00:00, , , ,65.8899244884418,21.6666666666667,5.4055830905,273.979585883879,1,71.39744225961,30.5440716526221,2.81253147360471,149.798077416484,2009,1,1,2,0,0,293.420151294547,2:00:00,60.8539647612728,17.2744215871111,2.29493662672778,25
1/1/2009 2:05:00,59.39,23,8.681166181,59.39,23,8.681166181,373.604680789558,1,70.7816450522674,29.2115031075932,4.45132025662948,190.951844503942,2009,1,1,2,5,0,332.897704497764,2:05:00,66.5656023965325,17.4496965716349,2.57219158255,26
1/1/2009 2:10:00,57.78,27,10.34438472,57.78,27,10.34438472,368.94972168,1,69.858835660486,28.4375547053559,6.29442921052259,208.640831878238,2009,1,1,2,10,0,344.617933819499,2:10:00,66.4415420865325,12.2832318292698,2.76409857294603,27
1/1/2009 2:15:00,56.21,14,1.27,56.21,14,1.27,84.9841666666667,1,68.9463280395225,29.1986630465963,7.65515849111727,220.638583955916,2009,1,1,2,15,0,204.301070737967,2:15:00,69.9752522798659,14.6144366249048,2.81690798368651,28
1/1/2009 2:20:00, ,21,1.4,65.8899244884418,21,1.4,73.2110272093798,1,68.0452643764598,22.6416374251167,3.10993189661785,147.132125798737,2009,1,1,2,20,0,211.87675350216,2:20:00,68.6759434454593,15.2823678755782,2.20959239423724,29
