10,0.793322,0.275934,0.0439689,7.96822
0,(5562,4608),(9198,4392),(5976,1476),(1854,1008),(1458,7092),(11142,5274),(5832,4284),(3168,3186),(11970,2466),(5580,3312)
1,(5631,4915),(9162,4717),(6304,1418),(1748,1324),(1791,7082),(11214,5599),(5977,4050),(3474,3186),(11636,2455),(5408,3026)
2,(5560,5217),(9162,5050),(6624,1332),(1638,1656),(2106,7074),(11287,5924),(6276,3921),(3566,2976),(11362,2394),(5542,2860)
3,(5237,5244),(9162,5144),(6931,1351),(1671,1987),(2437,7105),(11360,6249),(6568,3805),(3908,2939),(11415,2156),(5531,2527)
4,(5068,5508),(9162,4811),(7264,1362),(1718,2290),(2207,7083),(11439,6588),(6889,3699),(4104,2808),(11748,2147),(5687,2298)
5,(5204,5826),(9162,4828),(7428,1203),(1772,2619),(2327,7095),(11515,6913),(7092,3634),(4104,2916),(11840,2145),(6012,2214)
6,(5094,5634),(9162,5162),(7416,893),(1828,2952),(2318,7094),(11518,7164),(7130,3861),(4104,2808),(11507,2154),(6081,1992)
7,(5210,5837),(9162,5033),(7416,886),(1892,3279),(2216,7084),(11185,7169),(7452,3888),(4104,2916),(11415,2156),(5865,1740)
8,(5149,5730),(9162,4700),(7431,1225),(1956,3606),(2428,7104),(10851,7174),(7119,3860),(4104,2808),(11748,2147),(5644,1492)
9,(5155,5741),(9162,4939),(7618,1356),(2016,3908),(2106,7074),(10518,7178),(7241,3870),(4104,2916),(11840,2145),(5727,1278)
10,(5204,5826),(9162,5256),(7950,1334),(2081,4235),(2437,7105),(10184,7178),(7473,3779),(4104,2808),(11507,2154),(6066,1278)
11,(5094,5634),(9162,4922),(8262,1314),(2113,4542),(2207,7083),(9851,7167),(7473,3781),(4104,2916),(11415,2156),(5859,1016)
12,(5094,5634),(9169,4606),(7929,1336),(2103,4440),(2327,7095),(9518,7157),(7495,3670),(4215,2920),(11748,2147),(5832,738)
13,(5210,5837),(9191,4281),(7596,1358),(2103,4431),(2318,7094),(9162,7146),(7452,3888),(4573,2934),(12062,2136),(5498,738)
14,(5072,5525),(9186,4196),(7618,1356),(2113,4551),(2216,7084),(8828,7146),(7495,3672),(4570,2934),(12395,2120),(5165,738)
15,(5072,5525),(9191,4281),(7950,1334),(2093,4321),(2428,7104),(8495,7146),(7473,3779),(4573,2934),(12728,2103),(4832,738)
16,(5072,5525),(9186,4196),(8262,1314),(2124,4662),(2106,7074),(8162,7146),(7473,3781),(4570,2934),(13050,2088),(4498,738)
17,(5072,5525),(9191,4281),(7929,1336),(2093,4330),(2437,7105),(8286,7146),(7495,3670),(4573,2934),(12717,2104),(4165,738)
18,(5238,5243),(9186,4196),(7596,1358),(2033,3993),(2207,7083),(8619,7146),(7452,3888),(4570,2934),(12384,2120),(3916,635)
19,(5093,5412),(9191,4281),(7285,1362),(1968,3666),(2327,7095),(8952,7146),(7495,3672),(4573,2934),(12051,2137),(3819,411)
20,(5072,5525),(9186,4196),(6952,1352),(2016,3908),(2318,7094),(9050,7146),(7433,3997),(4570,2934),(12173,2131),(3960,738)
21,(5072,5525),(9191,4281),(6624,1332),(2081,4235),(2216,7084),(8717,7146),(7452,3888),(4573,2934),(12506,2114),(3828,431)
22,(5072,5525),(9186,4196),(6879,1294),(2033,3993),(2428,7104),(8384,7146),(7495,3672),(4570,2934),(12839,2098),(3907,615)
23,(5072,5525),(9191,4281),(6887,1172),(1968,3666),(2106,7074),(8064,7146),(7473,3779),(4573,2934),(12939,2093),(3872,533)
24,(5072,5525),(9186,4196),(6886,1183),(2016,3908),(2437,7105),(8397,7146),(7473,3781),(4570,2934),(12606,2109),(3863,513)
25,(5072,5525),(9191,4281),(6880,1283),(2081,4235),(2207,7083),(8730,7146),(7495,3670),(4573,2934),(12273,2126),(3916,635)
26,(5238,5243),(9186,4196),(6894,1062),(2033,3993),(2327,7095),(9064,7146),(7452,3888),(4570,2934),(11952,2142),(3819,411)
27,(5093,5412),(9191,4281),(6879,1294),(1968,3666),(2318,7094),(8939,7146),(7495,3672),(4573,2934),(12284,2125),(3960,738)
28,(5072,5525),(9186,4196),(6887,1172),(2016,3908),(2216,7084),(8606,7146),(7473,3779),(4570,2934),(12617,2109),(3828,431)
29,(5072,5525),(9191,4281),(6886,1183),(2081,4235),(2428,7104),(8273,7146),(7473,3781),(4573,2934),(12950,2092),(3907,615)
30,(5149,5730),(9186,4196),(6880,1283),(2113,4542),(2106,7074),(8175,7146),(7495,3670),(4351,2926),(12828,2098),(3872,533)
31,(5155,5741),(9191,4281),(6894,1062),(2103,4440),(2437,7105),(8508,7146),(7452,3888),(4215,2920),(12495,2115),(3863,513)
32,(5204,5826),(9186,4196),(6820,1346),(2103,4431),(2207,7083),(8841,7146),(7434,3994),(4462,2931),(12162,2131),(3916,635)
33,(5094,5634),(9191,4281),(6734,1339),(2113,4551),(2327,7095),(9162,7146),(7416,4104),(4104,2916),(12062,2136),(3819,411)
