26, 0.951471, 0.932801, 0.127569, 6.91267
0,(4338,4248),(9198,4392),(6894,1062),(4590,4356),(6516,2718),(4590,4356),(6336,2358),(7452,3888),(1224,5814),(4140,4284),(9180,2664),(3528,7902),(10332,7650),(5058,1800),(630,3024),(5022,2736),(4140,4284),(4140,4284),(7452,7596),(11880,198),(3960,738),(14040,6840),(5274,4788),(4338,4248),(6516,2718),(13068,2430)
1,(4538,4334),(9530,4414),(7225,1096),(4635,4686),(6626,2941),(4635,4686),(6623,2526),(7537,3572),(1557,5826),(4140,3950),(9198,2340),(3520,7568),(10306,7317),(5350,1908),(559,2698),(4891,2922),(4140,3950),(4140,3950),(7401,7266),(11546,203),(3828,431),(14373,6840),(5054,5049),(4538,4334),(6404,2937),(13050,2088)
2,(4228,4267),(9863,4436),(7250,1098),(4690,5042),(6927,2904),(4690,5042),(6810,2635),(7729,3299),(1469,5823),(4140,3855),(9180,2664),(3512,7235),(10518,7178),(5514,2074),(489,2372),(4570,2934),(4140,3855),(4140,3855),(7405,7292),(11213,209),(3907,615),(14140,6840),(4914,5346),(4228,4267),(6071,2948),(13068,2430)
3,(4128,4505),(9841,4434),(6894,1062),(4550,5201),(7229,2889),(4550,5201),(6522,2467),(7784,3222),(1198,5705),(4140,4188),(9162,2790),(3515,7332),(10851,7174),(5527,2395),(443,2160),(4444,3147),(4140,4188),(4140,4188),(7452,7596),(10872,216),(3872,533),(14262,6840),(4603,5467),(3917,4282),(5948,3172),(13050,2088)
4,(4112,4838),(9509,4412),(6768,756),(4194,5238),(7386,3077),(4194,5238),(6309,2250),(7592,3495),(1122,5381),(3917,4282),(9192,2442),(3522,7665),(11184,7169),(5538,2728),(513,2486),(4130,3186),(3917,4282),(3917,4282),(7401,7266),(11205,210),(3863,513),(14251,6840),(4297,5599),(3584,4279),(5908,3503),(13068,2430)
5,(4060,5164),(9198,4392),(7100,737),(4525,5203),(7452,2988),(4525,5203),(6189,2247),(7601,3481),(1118,5364),(3584,4279),(9185,2561),(3525,7790),(11518,7164),(5364,2952),(584,2811),(4131,3183),(3584,4279),(3584,4279),(7405,7292),(11538,204),(3916,635),(14151,6840),(4019,5760),(3251,4276),(5868,3834),(13050,2088)
6,(4089,5057),(9162,4717),(7416,720),(4882,5184),(7373,3096),(4882,5184),(6265,2485),(7793,3209),(1194,5688),(3251,4276),(9053,2814),(3517,7457),(11510,6893),(5535,3237),(606,2915),(4417,3145),(3251,4276),(3251,4276),(7452,7596),(11880,198),(3819,411),(14362,6840),(3766,5977),(2917,4273),(5882,4153),(13068,2430)
7,(4068,5367),(9162,5050),(7429,386),(5209,5198),(7308,3186),(5209,5198),(6156,2142),(8046,3232),(1253,6034),(2917,4273),(8728,2886),(3510,7110),(11434,6568),(5465,3121),(536,2589),(4222,3136),(2917,4273),(2917,4273),(7402,7925),(11546,203),(3960,738),(14040,6840),(3672,6284),(2584,4270),(5725,4412),(13050,2088)
8,(4104,5688),(9162,5144),(7425,492),(5093,5412),(7386,3077),(5093,5412),(5850,2255),(8343,3384),(1298,6364),(2584,4270),(8402,2958),(3517,7443),(11388,6372),(5421,3047),(466,2263),(4048,3344),(2584,4270),(2584,4270),(7439,7681),(11213,209),(3828,431),(14373,6840),(3608,6611),(2251,4267),(5577,4661),(13068,2430)
9,(4407,5550),(9162,4811),(7420,608),(4796,5547),(7452,2988),(4796,5547),(5526,2340),(8640,3535),(1353,6698),(2251,4267),(8173,2956),(3525,7776),(11464,6696),(5580,3312),(403,1941),(3836,3220),(2251,4267),(2251,4267),(7672,7619),(10872,216),(3907,615),(14512,6974),(3543,6938),(2055,4102),(5628,4970),(13050,2088)
